phase,category,question,template_id,generated_cypher,answer,if_correct
Phase 1,Direct Entity Lookup,Count all enzymes,T044,MATCH (n:EC) RETURN count(n),[{'count(n)': 297}],1
Phase 1,Direct Entity Lookup,Does gene gmx:100037478 exist?,T001,MATCH (n:Gene {id: 'gmx:100037478'}) RETURN n,['gmx:100037478'],1
Phase 1,Direct Entity Lookup,Is there a pathway path:gmx00280?,T002,MATCH (n:Pathway {id: 'path:gmx00280'}) RETURN n,['path:gmx00280'],1
Phase 1,Direct Entity Lookup,Do we have compound C00052?,T003,MATCH (n:Compound {id: 'C00052'}) RETURN n,['C00052'],1
Phase 1,Direct Entity Lookup,Check if enzyme EC:1.3.1.10 exists,T004,MATCH (n:EC {id: 'EC:1.3.1.10'}) RETURN n,['EC:1.3.1.10'],1
Phase 1,Direct Entity Lookup,Is reaction R07449 in the database?,T005,MATCH (n:Reaction {id: 'R07449'}) RETURN n,['R07449'],1
Phase 1,Direct Entity Lookup,What are the properties of gene ath:AT1G01040?,T006,MATCH (n:Gene {id: 'ath:AT1G01040'}) RETURN properties(n),[],1
Phase 1,Direct Entity Lookup,Show all properties of pathway path:gmx00061,T007,MATCH (n:Pathway {id: 'path:gmx00061'}) RETURN properties(n),"[{'properties(n)': {'id': 'path:gmx00061', 'title': 'Fatty acid biosynthesis', 'species': 'GMX', 'source': 'KEGG', 'link': 'https://www.kegg.jp/kegg-bin/show_pathway?gmx00061', 'image': 'https://www.kegg.jp/kegg/pathway/gmx/gmx00061.png'}}]",1
Phase 1,Direct Entity Lookup,Get information about compound C06157,T008,MATCH (n:Compound {id: 'C06157'}) RETURN properties(n),"[{'properties(n)': {'id': 'C06157', 'names': ['[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine', 'S-Glutaryldihydrolipoamide-E'], 'link': 'https://rest.kegg.jp/get/C06157', 'name': '[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine', 'formula': 'C13H22NO4S2R'}}]",1
Phase 1,Direct Entity Lookup,Display properties of enzyme EC:4.2.1.59,T009,MATCH (n:EC {id: 'EC:4.2.1.59'}) RETURN properties(n),"[{'properties(n)': {'id': 'EC:4.2.1.59', 'names': ['3-hydroxyacyl-[acyl-carrier-protein] dehydratase', 'fabZ (gene name)', 'fabA (gene name)', 'D-3-hydroxyoctanoyl-[acyl carrier protein] dehydratase', 'D-3-hydroxyoctanoyl-acyl carrier protein dehydratase', 'beta-hydroxyoctanoyl-acyl carrier protein dehydrase', 'beta-hydroxyoctanoyl thioester dehydratase', 'beta-hydroxyoctanoyl-ACP-dehydrase', '(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase', '(3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] hydro-lyase (oct-2-enoyl-[acyl-carrier protein]-forming)', '3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase'], 'name': '3-hydroxyacyl-[acyl-carrier-protein] dehydratase', 'link': 'https://rest.kegg.jp/get/4.2.1.59', 'sysname': '(3R)-3-hydroxyacyl-[acyl-carrier protein] hydro-lyase (trans-2-enoyl-[acyl-carrier protein]-forming)'}}]",1
Phase 1,Direct Entity Lookup,What information is stored for reaction R00200?,T010,MATCH (n:Reaction {id: 'R00200'}) RETURN properties(n),[],1
Phase 1,Simple Relationship Queries - Outgoing,What enzymes does gene ath:AT1G01050 encode?,T011,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC) RETURN e,"[{'e': {'names': ['inorganic diphosphatase'], 'sysname': 'diphosphate phosphohydrolase', 'name': 'inorganic diphosphatase', 'link': 'https://rest.kegg.jp/get/3.6.1.1', 'id': 'EC:3.6.1.1'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are encoded by gene ats:109733199?,T011,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC) RETURN e,[],1
Phase 1,Simple Relationship Queries - Outgoing,Show enzymes for gene ats:109761713,T011,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e,[],1
Phase 1,Simple Relationship Queries - Outgoing,What does gene ath:AT1G54220 encode?,T011,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC) RETURN e,"[{'e': {'names': ['dihydrolipoyllysine-residue acetyltransferase', 'acetyl-CoA:dihydrolipoamide S-acetyltransferase', 'dihydrolipoamide S-acetyltransferase', 'dihydrolipoate acetyltransferase', 'dihydrolipoic transacetylase', 'dihydrolipoyl acetyltransferase', 'lipoate acetyltransferase', 'lipoate transacetylase', 'lipoic acetyltransferase', 'lipoic acid acetyltransferase', 'lipoic transacetylase', 'lipoylacetyltransferase', 'thioltransacetylase A', 'transacetylase X', 'enzyme-dihydrolipoyllysine:acetyl-CoA S-acetyltransferase', 'acetyl-CoA:enzyme 6-N-(dihydrolipoyl)lysine S-acetyltransferase'], 'sysname': 'acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase', 'name': 'dihydrolipoyllysine-residue acetyltransferase', 'link': 'https://rest.kegg.jp/get/2.3.1.12', 'id': 'EC:2.3.1.12'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,List enzyme functions of gene ath:AT2G06990,T011,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(e:EC) RETURN e,[],1
Phase 1,Simple Relationship Queries - Outgoing,Get EC numbers for gene ath:AT5G61540,T011,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC) RETURN e,[],1
Phase 1,Simple Relationship Queries - Outgoing,Which ortholog group does gene gmx:100217331 belong to?,T012,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,"[{'o': {'symbol': 'FAB2, SSI2, desA1', 'link': 'https://rest.kegg.jp/get/K03921', 'name': 'acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]', 'id': 'K03921'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Show ortholog for gene ats:109745953,T012,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,[],1
Phase 1,Simple Relationship Queries - Outgoing,What ortholog contains gene gmx:100037478?,T012,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,"[{'o': {'symbol': 'FAB2, SSI2, desA1', 'link': 'https://rest.kegg.jp/get/K03921', 'name': 'acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]', 'id': 'K03921'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Find ortholog group of gene ath:AT1G01040,T012,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,[],1
Phase 1,Simple Relationship Queries - Outgoing,Get ortholog for gene ath:AT1G01050,T012,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,"[{'o': {'symbol': 'ppa', 'link': 'https://rest.kegg.jp/get/K01507', 'name': 'inorganic pyrophosphatase [EC:3.6.1.1]', 'id': 'K01507'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Which KO group includes gene K10246?,T012,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,[],1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions use compound C06000 as substrate?,T014,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C06000 + C00001 <=> C00010 + C06001', 'link': 'https://rest.kegg.jp/get/R05064', 'name': '(S)-3-hydroxyisobutyryl-CoA hydrolase', 'definition': '(S)-3-Hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate', 'id': 'R05064'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,What reactions consume compound C00164?,T014,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Show reactions where C06000 is a substrate,T014,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C06000 + C00001 <=> C00010 + C06001', 'link': 'https://rest.kegg.jp/get/R05064', 'name': '(S)-3-hydroxyisobutyryl-CoA hydrolase', 'definition': '(S)-3-Hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate', 'id': 'R05064'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that use compound C08813,T014,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Get reactions with C06000 as input,T014,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C06000 + C00001 <=> C00010 + C06001', 'link': 'https://rest.kegg.jp/get/R05064', 'name': '(S)-3-hydroxyisobutyryl-CoA hydrolase', 'definition': '(S)-3-Hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate', 'id': 'R05064'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions require compound C03069?,T014,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C00002 + C03069 + C00288 <=> C00008 + C00009 + C03231', 'link': 'https://rest.kegg.jp/get/R04138', 'name': '3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)', 'definition': 'ATP + 3-Methylcrotonyl-CoA + HCO3- <=> ADP + Orthophosphate + 3-Methylglutaconyl-CoA', 'id': 'R04138'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,What reactions does EC:1.14.13.1 catalyze?,T016,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are catalyzed by enzyme EC:1.14.13.1?,T016,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Show reactions for enzyme EC:1.3.1.9,T016,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C00173 + C00003 <=> C00693 + C00004 + C00080', 'link': 'https://rest.kegg.jp/get/rn:R01403', 'name': 'acyl-[acyl-carrier-protein]:NAD+ oxidoreductase', 'definition': 'Acyl-[acyl-carrier protein] + NAD+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADH + H+', 'id': 'rn:R01403'}}, {'r': {'equation': 'C00173 + C00003 <=> C00693 + C00004 + C00080', 'link': 'https://rest.kegg.jp/get/R01403', 'name': 'acyl-[acyl-carrier-protein]:NAD+ oxidoreductase', 'definition': 'Acyl-[acyl-carrier protein] + NAD+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADH + H+', 'id': 'R01403'}}, {'r': {'equation': 'C05745 + C00003 <=> C04246 + C00004 + C00080', 'link': 'https://rest.kegg.jp/get/R04429', 'name': 'butyryl-[acp]:NAD+ trans-2-oxidoreductase', 'definition': 'Butyryl-[acp] + NAD+ <=> But-2-enoyl-[acyl-carrier protein] + NADH + H+', 'id': 'R04429'}}, {'r': {'equation': 'C05749 + C00003 <=> C05748 + C00004 + C00080', 'link': 'https://rest.kegg.jp/get/R04955', 'name': 'hexa",1
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that EC:1.14.13.1 catalyzes,T016,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Get reactions catalyzed by EC:6.2.1.3,T016,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C00002 + C00638 + C00010 <=> C00020 + C00013 + C02843', 'link': 'https://rest.kegg.jp/get/rn:R00390', 'name': 'long-chain-fatty-acid:CoA ligase (AMP-forming)', 'definition': 'ATP + Long-chain fatty acid + CoA <=> AMP + Diphosphate + Long-chain acyl-CoA', 'id': 'rn:R00390'}}, {'r': {'equation': 'C00002 + C00638 + C00010 <=> C00020 + C00013 + C02843', 'link': 'https://rest.kegg.jp/get/R00390', 'name': 'long-chain-fatty-acid:CoA ligase (AMP-forming)', 'definition': 'ATP + Long-chain fatty acid + CoA <=> AMP + Diphosphate + Long-chain acyl-CoA', 'id': 'R00390'}}, {'r': {'equation': 'C00002 + C00249 + C00010 <=> C00020 + C00154 + C00013', 'link': 'https://rest.kegg.jp/get/R01280', 'name': 'palmitate:CoA ligase (AMP-forming)', 'definition': 'ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate', 'id': 'R01280'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does enzyme EC:2.1.1.369 perform?,T016,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C02188 + C00019 <=> C05544 + C00021', 'link': 'https://rest.kegg.jp/get/R03875', 'definition': 'Protein lysine + S-Adenosyl-L-methionine <=> Protein N6-methyl-L-lysine + S-Adenosyl-L-homocysteine', 'id': 'R03875'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,What reactions does ortholog R10826 catalyze?,T017,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are performed by KO K09458?,T017,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C00173 + C01209 <=> C00685 + C00011 + C00229', 'link': 'https://rest.kegg.jp/get/rn:R02768', 'name': 'acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)', 'definition': 'Acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein', 'id': 'rn:R02768'}}, {'r': {'equation': 'C00173 + C01209 <=> C00685 + C00011 + C00229', 'link': 'https://rest.kegg.jp/get/R02768', 'name': 'acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)', 'definition': 'Acyl-[acyl-carrier protein] + Malonyl-[acyl-carrier protein] <=> 3-Oxoacyl-[acyl-carrier protein] + CO2 + Acyl-carrier protein', 'id': 'R02768'}}, {'r': {'equation': 'C03939 + C01209 <=> C05744 + C00011 + C00229', 'link': 'https://rest.kegg.jp/get/R04355', 'name': 'acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)', 'definition': 'Acetyl",1
Phase 1,Simple Relationship Queries - Outgoing,Show reactions catalyzed by ortholog R03777,T017,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction) RETURN r,[],1
Phase 1,Simple Relationship Queries - Outgoing,Find reactions for ortholog group K00059,T017,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C01271 + C00006 <=> C00685 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/rn:R02767', 'name': '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+', 'id': 'rn:R02767'}}, {'r': {'equation': 'C01271 + C00006 <=> C00685 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/R02767', 'name': '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+', 'id': 'R02767'}}, {'r': {'equation': 'C04618 + C00006 <=> C05744 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/R04533', 'name': '(3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+', 'id': 'R04533'}}, {'r': {'equation': 'C05747 + C00006 <=> C05",1
Phase 1,Simple Relationship Queries - Outgoing,Get reactions that K00059 catalyzes,T017,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C01271 + C00006 <=> C00685 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/rn:R02767', 'name': '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+', 'id': 'rn:R02767'}}, {'r': {'equation': 'C01271 + C00006 <=> C00685 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/R02767', 'name': '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+', 'id': 'R02767'}}, {'r': {'equation': 'C04618 + C00006 <=> C05744 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/R04533', 'name': '(3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+', 'id': 'R04533'}}, {'r': {'equation': 'C05747 + C00006 <=> C05",1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does ortholog K00059 perform?,T017,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r,"[{'r': {'equation': 'C01271 + C00006 <=> C00685 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/rn:R02767', 'name': '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+', 'id': 'rn:R02767'}}, {'r': {'equation': 'C01271 + C00006 <=> C00685 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/R02767', 'name': '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxyacyl-[acyl-carrier protein] + NADP+ <=> 3-Oxoacyl-[acyl-carrier protein] + NADPH + H+', 'id': 'R02767'}}, {'r': {'equation': 'C04618 + C00006 <=> C05744 + C00005 + C00080', 'link': 'https://rest.kegg.jp/get/R04533', 'name': '(3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase', 'definition': '(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+', 'id': 'R04533'}}, {'r': {'equation': 'C05747 + C00006 <=> C05",1
Phase 1,Simple Relationship Queries - Outgoing,What enzyme functions does ortholog K00059 have?,T018,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,"[{'e': {'names': ['3-oxoacyl-[acyl-carrier-protein] reductase', 'beta-ketoacyl-[acyl-carrier protein](ACP) reductase', 'beta-ketoacyl acyl carrier protein (ACP) reductase', 'beta-ketoacyl reductase', 'beta-ketoacyl thioester reductase', 'beta-ketoacyl-ACP reductase', 'beta-ketoacyl-acyl carrier protein reductase', '3-ketoacyl acyl carrier protein reductase', 'NADPH-specific 3-oxoacyl-[acylcarrier protein]reductase', '3-oxoacyl-[ACP]reductase', '(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase'], 'sysname': '(3R)-3-hydroxyacyl-[acyl-carrier protein]:NADP+ oxidoreductase', 'name': '3-oxoacyl-[acyl-carrier-protein] reductase', 'link': 'https://rest.kegg.jp/get/1.1.1.100', 'id': 'EC:1.1.1.100'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are associated with KO K11262?,T018,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,"[{'e': {'names': ['biotin carboxylase', 'accC (gene name)', 'biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming)'], 'sysname': '[biotin carboxyl-carrier protein]-biotin-N6-L-lysine:hydrogencarbonate ligase (ADP-forming)', 'name': 'biotin carboxylase', 'link': 'https://rest.kegg.jp/get/6.3.4.14', 'id': 'EC:6.3.4.14'}}, {'e': {'names': ['acetyl-CoA carboxylase', 'HFA1 (gene name)', 'ACC1 (gene name)', 'acetyl coenzyme A carboxylase', 'acetyl-CoA:carbon-dioxide ligase (ADP-forming)'], 'sysname': 'acetyl-CoA:hydrogencarbonate ligase (ADP-forming)', 'name': 'acetyl-CoA carboxylase', 'link': 'https://rest.kegg.jp/get/6.4.1.2', 'id': 'EC:6.4.1.2'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Show enzyme functions of ortholog K00249,T018,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,"[{'e': {'names': ['medium-chain acyl-CoA dehydrogenase', 'fatty acyl coenzyme A dehydrogenase (ambiguous)', 'acyl coenzyme A dehydrogenase (ambiguous)', 'acyl dehydrogenase (ambiguous)', 'fatty-acyl-CoA dehydrogenase (ambiguous)', 'acyl CoA dehydrogenase (ambiguous)', 'general acyl CoA dehydrogenase (ambiguous)', 'medium-chain acyl-coenzyme A dehydrogenase', 'acyl-CoA:(acceptor) 2,3-oxidoreductase (ambiguous)', 'ACADM (gene name).'], 'sysname': 'medium-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase', 'name': 'medium-chain acyl-CoA dehydrogenase', 'link': 'https://rest.kegg.jp/get/1.3.8.7', 'id': 'EC:1.3.8.7'}}]",1
Phase 1,Simple Relationship Queries - Outgoing,Find EC numbers for ortholog K01897,T018,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,"[{'e': {'names': ['long-chain-fatty-acid---CoA ligase', 'acyl-CoA synthetase', 'fatty acid thiokinase (long chain)', 'acyl-activating enzyme', 'palmitoyl-CoA synthase', 'lignoceroyl-CoA synthase', 'arachidonyl-CoA synthetase', 'acyl coenzyme A synthetase', 'acyl-CoA ligase', 'palmitoyl coenzyme A synthetase', 'thiokinase', 'palmitoyl-CoA ligase', 'acyl-coenzyme A ligase', 'fatty acid CoA ligase', 'long-chain fatty acyl coenzyme A synthetase', 'oleoyl-CoA synthetase', 'stearoyl-CoA synthetase', 'long chain fatty acyl-CoA synthetase', 'long-chain acyl CoA synthetase', 'fatty acid elongase', 'LCFA synthetase', 'pristanoyl-CoA synthetase', 'ACS3', 'long-chain acyl-CoA synthetase I', 'long-chain acyl-CoA synthetase II', 'fatty acyl-coenzyme A synthetase', 'long-chain acyl-coenzyme A synthetase', 'FAA1'], 'sysname': 'long-chain fatty acid:CoA ligase (AMP-forming)', 'name': 'long-chain-fatty-acid---CoA ligase', 'link': 'https://rest.kegg.jp/get/6.2.1.3', 'id': 'EC:6.2.1.3'}}]",1
