pmid,question_type,question,answer,entities_used,difficulty,topic,category_id,category_name,title,abstract_word_count
19463193,factual,"In the context of breeding Brassica napus for improved oil quality, what contrasting transcriptional changes were observed for the FAD3 and FatB genes in the descendant cultivar compared to its ancestor?","Selective breeding for improved traits, such as low erucic acid and high oil content, led to an increase in the transcriptional level of the FAD3 gene, while the expression of the FatB gene was diminished.","FAD3, FatB, Brassica napus, erucic acid",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Breeding response of transcript profiling in developing seeds of Brassica napus.,357
19463193,numerical,"Among the 32 genes related to lipid synthesis examined in two rapeseed cultivars, what proportion of the total measured transcriptional activity was attributed solely to the Napin gene?","In both the ancestral (Zhongyou 821) and descendant (Zhongshuang 9) cultivars, the Napin gene was responsible for over 75% of the total transcription from all 32 genes analyzed.","Napin gene, Zhongyou 821, Zhongshuang 9",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Breeding response of transcript profiling in developing seeds of Brassica napus.,357
9247548,factual,"In which specific plant structures of Cuphea wrightii were the thioesterase enzymes, Cw FatB1 and Cw FatB2, localized, suggesting their role in seed oil production?","The Cw FatB1 and Cw FatB2 proteins were identified exclusively in the developing embryos and mature seeds of the plant, and were not found in any other tissues.","Cw FatB1, Cw FatB2, developing embryos, mature seeds",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Cuphea wrightii thioesterases have unexpected broad specificities on saturated fatty acids.,191
9247548,numerical,"When Cuphea wrightii thioesterase genes were introduced into Arabidopsis, which saturated fatty acid showed the highest level of accumulation, and what was the broader spectrum of fatty acids produced?","In transgenic Arabidopsis, the fatty acid with the greatest accumulation was myristate (14:0). A broader range of fatty acids including laurate (12:0) and palmitate (16:0) were also produced, and Cw FatB2 expression additionally resulted in minor amounts of caprate (10:0).","transgenic Arabidopsis, Cw FatB1, Cw FatB2, fatty acids (10:0, 12:0, 14:0, 16:0)",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Cuphea wrightii thioesterases have unexpected broad specificities on saturated fatty acids.,191
11807123,factual,"In the biosynthetic pathway for aliphatic esters in Charentais melons, which precursor conversion steps were identified as being almost completely dependent on the plant hormone ethylene?",The study concluded that the reduction of fatty acids and the reduction of aldehydes are the two steps in the pathway that are essentially reliant on ethylene.,"Ethylene, Fatty acids, Aldehydes, Aliphatic ester pathway",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Role of ethylene in the biosynthetic pathway of aliphatic ester aroma volatiles in Charentais Cantaloupe melons.,207
11807123,numerical,"What approximate percentage of acetyl transfer activity was found to be ethylene-dependent, as demonstrated by treating ethylene-suppressed fruit with the antagonist 1-methylcyclopropene?","Treating the ethylene-suppressed (AS) fruit with 1-methylcyclopropene resulted in an inhibition of approximately 50% of the acetyl transfer activity, indicating this portion was dependent on ethylene.","1-methylcyclopropene, Acetyl transfer activity, AS fruit",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Role of ethylene in the biosynthetic pathway of aliphatic ester aroma volatiles in Charentais Cantaloupe melons.,207
10899973,factual,"What specific enzyme is produced from the DELAYED DEHISCENCE1 gene, and what is the functional consequence of its absence on the process of pollen release in the mutant plant?",The DELAYED DEHISCENCE1 gene encodes the enzyme 12-oxophytodienoate reductase. The absence of this enzyme in the mutant results in a delay in the release of pollen from the anthers.,"DELAYED DEHISCENCE1, 12-oxophytodienoate reductase, anther dehiscence",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,The arabidopsis DELAYED DEHISCENCE1 gene encodes an enzyme in the jasmonic acid synthesis pathway.,160
10899973,numerical,"Based on the transcript localization analysis, in which specific anther cell types responsible for pollen liberation was the DELAYED DEHISCENCE1 mRNA undetectable?","The DELAYED DEHISCENCE1 mRNA was not detected in the stomium and septum cells of the anther, which are the tissues involved in pollen release.","DELAYED DEHISCENCE1 mRNA, stomium, septum",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,The arabidopsis DELAYED DEHISCENCE1 gene encodes an enzyme in the jasmonic acid synthesis pathway.,160
14535881,factual,What is the consequence for a plant's fungal resistance when the activity of the enzyme peroxygenase is suppressed?,"Suppressing peroxygenase activity alters the cuticle, which in turn makes the plant significantly more vulnerable to infections by fungi.","peroxygenase, fungi, cuticle",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Formation of plant cuticle: evidence for the occurrence of the peroxygenase pathway.,220
14535881,numerical,What two distinct modifications were observed in the maize leaf cuticle following the specific chemical inhibition of peroxygenase?,The chemical inhibition of peroxygenase led to a dramatic decrease in the content of cuticular epoxides and a reduction in the overall thickness of the cuticle.,"peroxygenase, cuticle, cuticular epoxides",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Formation of plant cuticle: evidence for the occurrence of the peroxygenase pathway.,220
26836315,factual,What molecular mechanism allows the AAE13 gene to produce a malonyl-CoA synthetase that functions in both the cytoplasm and the mitochondria?,"The AAE13 gene generates two distinct types of transcripts. One variant includes a mitochondrial-targeting pre-sequence, which directs the resulting protein isoform to the mitochondria, while the other transcript lacks this sequence, causing its protein product to remain in the cytosol.","AAE13, malonyl-CoA synthetase, cytosol, mitochondria, transcripts",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,AAE13 encodes a dual-localized malonyl-CoA synthetase that is crucial for mitochondrial fatty acid biosynthesis.,253
26836315,numerical,Under what specific atmospheric concentration of CO2 were the photorespiratory-related metabolic and morphological defects of the aae13-1 mutant reversed?,"The defects of the aae13-1 mutant were reversed when the plants were cultivated in an atmosphere containing 1% CO2, which creates a non-photorespiratory condition.","aae13-1 mutant, CO2, photorespiration",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,AAE13 encodes a dual-localized malonyl-CoA synthetase that is crucial for mitochondrial fatty acid biosynthesis.,253
27509494,factual,"What functional relationship was discovered between the two KASI homologs, NtKASI-1 and NtKASI-2, in tobacco?","The study revealed that the two KASI genes in tobacco have partially overlapping functions, indicating a degree of functional redundancy in regulating fatty acid synthesis and plant development.","NtKASI-1, NtKASI-2, functional redundancy",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,β-Ketoacyl-acyl Carrier Protein Synthase I (KASI) Plays Crucial Roles in the Plant Growth and Fatty Acids Synthesis in Tobacco.,183
27509494,numerical,"What were the two specific phenotypic consequences observed in tobacco plants that over-expressed NtKASI-2, which were also seen in plants where NtKASI-1 was silenced?",The tobacco plants over-expressing NtKASI-2 shared two distinct traits with the NtKASI-1 silenced plants: they both exhibited leaves with slight variegation and a reduction in their overall fatty acid content.,"NtKASI-1, NtKASI-2, over-expression, gene silencing",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,β-Ketoacyl-acyl Carrier Protein Synthase I (KASI) Plays Crucial Roles in the Plant Growth and Fatty Acids Synthesis in Tobacco.,183
9880919,factual,What was the biochemical impact on the fatty acid profile of transgenic rice when the tobacco fatty acid desaturase gene (NtFAD3) was expressed?,"The expression of the NtFAD3 gene, driven by the CaMV35S promoter, altered the fatty acid composition by reducing the content of linoleic acid (18:2) and elevating the content of linolenic acid (18:3).","NtFAD3, linoleic acid, linolenic acid",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,"Co-integration, co-expression and co-segregation of an unlinked selectable marker gene and NtFAD3 gene in transgenic rice plants produced by particle bombardment.",212
9880919,numerical,"What percentage of the bialaphos-resistant transgenic rice plants were also found to carry the unselected NtFAD3 gene, as determined by Southern-blot analysis?","The co-integration frequency was 72%, as 23 out of the 32 plants resistant to bialaphos had also incorporated the NtFAD3 gene.","NtFAD3, bar gene, co-integration frequency",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,"Co-integration, co-expression and co-segregation of an unlinked selectable marker gene and NtFAD3 gene in transgenic rice plants produced by particle bombardment.",212
24214063,factual,"Within which subcellular organelle do the four identified Arabidopsis acyl-lipid thioesterases (ALTs) reside, and what is their fundamental biochemical role in lipid metabolism?","All four ALT proteins are directed to the plastids, where they function to cleave fatty acyl-acyl carrier protein substrates, releasing free fatty acids.","acyl-lipid thioesterase, plastids, fatty acyl-acyl carrier protein",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Acyl-lipid thioesterase1-4 from Arabidopsis thaliana form a novel family of fatty acyl-acyl carrier protein thioesterases with divergent expression patterns and substrate specificities.,242
24214063,numerical,"When the ALT enzymes were expressed in a bacterial system, what range of carbon chain lengths were observed in the resulting fatty acids, and what were their other variable chemical properties?","In the Escherichia coli expression system, the fatty acids produced had carbon chain lengths ranging from C6 to C18. They also varied in their degree of saturation (saturated and monounsaturated) and their oxidation state (fully reduced and β-ketofatty acids).","acyl-lipid thioesterase, Escherichia coli, fatty acids, C6-C18",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Acyl-lipid thioesterase1-4 from Arabidopsis thaliana form a novel family of fatty acyl-acyl carrier protein thioesterases with divergent expression patterns and substrate specificities.,242
25239516,factual,"Based on the domain analysis, what biological process are the KCS-like proteins from Vitis vinifera and Oryza brachyantha likely involved in, given their similarity to chalcone synthase 2?","Due to their similarity to chalcone synthase 2, the proteins are suggested to have a possible function in the anthocyanin biosynthetic process, potentially with Naringenine and Chalcone synthase-like activity.","KCS-like proteins, Vitis vinifera, Oryza brachyantha, chalcone synthase 2, anthocyanin biosynthetic process",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Domain analysis of 3 Keto Acyl-CoA synthase for structural variations in Vitis vinifera and Oryza brachyantha using comparative modelling.,292
25239516,numerical,Which three specific amino acid residues and their corresponding positions were identified as the active site components in the J3MF16 protein of Oryza brachyantha?,"The active site residues found in the J3MF16 protein are Cysteine at position 240, Histidine at position 407, and Asparagine at position 447.","J3MF16 protein, Oryza brachyantha, active site residues",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Domain analysis of 3 Keto Acyl-CoA synthase for structural variations in Vitis vinifera and Oryza brachyantha using comparative modelling.,292
21790813,factual,What is the combined effect of eliminating both LACS1 and LACS4 enzyme function on the lipid content of the Arabidopsis pollen's outer layer?,"The simultaneous inactivation of both LACS1 and LACS4 results in a significant decrease in the lipids of the pollen coat, dropping to levels far below those of the wild-type, and leads to conditional sterility.","LACS1, LACS4, pollen coat lipids",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Combined activity of LACS1 and LACS4 is required for proper pollen coat formation in Arabidopsis.,223
21790813,numerical,How did the phenotype of the single LACS4 knockout mutant differ from the LACS1/LACS4 double knockout mutant with respect to pollen morphology and the quantity of tryphine lipids?,"The inactivation of LACS4 alone resulted in increased levels of tryphine lipids and abnormal pollen grain morphology. In contrast, the additional inactivation of LACS1 in the double mutant corrected the morphological defects but caused a substantial decrease in tryphine lipids to levels far below the wild-type.","LACS1, LACS4, tryphine lipids, pollen morphology",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Combined activity of LACS1 and LACS4 is required for proper pollen coat formation in Arabidopsis.,223
26138876,factual,"What phenotypic abnormalities were observed in the highly expressing transgenic tobacco plants, and what metabolic imbalance was associated with these changes?","The strongly transformed plants displayed arrested development and chlorotic (yellowing) leaves and stems. These negative effects were correlated with an accumulation of fatty alcohols, suggesting a disparity between the rate of fatty alcohol formation and its subsequent esterification.","transgenic tobacco plants, developmental aberrations, fatty alcohols",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Increased production of wax esters in transgenic tobacco plants by expression of a fatty acid reductase:wax synthase gene fusion.,229
26138876,numerical,What was the fold-increase in the overall quantity of wax esters in the engineered tobacco plants when compared to the unmodified controls?,"When assessed at the whole plant level, the transgenic plants exhibited an eight-fold increase in the total concentration of wax esters relative to the wild-type controls.","wax esters, transgenic tobacco plants",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Increased production of wax esters in transgenic tobacco plants by expression of a fatty acid reductase:wax synthase gene fusion.,229
11171156,factual,"Within the root cells of Zea mays, in which subcellular fraction were elongase activities found, and what were the primary fatty acid products of this activity?","Elongase activities were identified in the microsomal fraction of the root cells, and the primary products were C20, C22, and C24 fatty acids.","Zea mays, elongases, microsomal fraction, C20 fatty acids, C22 fatty acids, C24 fatty acids",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Biochemical and molecular characterization of corn (Zea mays L.) root elongases.,175
11171156,numerical,"According to the biochemical characterization, what were the specific carbon chain lengths of the three main fatty acids produced by the elongase enzymes in corn roots?","The three primary fatty acids produced by the elongases had carbon chain lengths of 20, 22, and 24 (C20, C22, and C24).","elongases, C20 fatty acids, C22 fatty acids, C24 fatty acids",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Biochemical and molecular characterization of corn (Zea mays L.) root elongases.,175
28521208,factual,"Regarding the two β-ketoacyl-acyl carrier protein synthase I proteins identified in Jatropha curcas, where are they located within the cell and what conserved amino acid sequence constitutes their catalytic domain?",Both JcKASI-1 and JcKASI-2 proteins are situated within the plastids and share a conserved Cys-His-Lys-His-Phe catalytic active site.,"JcKASI-1, JcKASI-2, plastids, catalytic active sites",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Molecular cloning and characterization of two β-ketoacyl-acyl carrier protein synthase I genes from Jatropha curcas L.,166
28521208,numerical,What were the differing outcomes when JcKASI-1 and JcKASI-2 were individually expressed in an Arabidopsis kasI mutant to assess their function?,"Expressing JcKASI-1 in the Arabidopsis kasI mutant fully restored the wild-type phenotype, including fatty acid profile and seed oil levels. In contrast, expressing JcKASI-2 resulted in only an incomplete recovery of the mutant phenotype.","JcKASI-1, JcKASI-2, Arabidopsis kasI mutant, fatty acid composition, oil content",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Molecular cloning and characterization of two β-ketoacyl-acyl carrier protein synthase I genes from Jatropha curcas L.,166
2194572,factual,"Regarding the biogenesis of enoyl-ACP reductase in rape seed, where is its genetic information stored and in which cellular compartment is the functional enzyme found?",The study indicates that the enzyme is encoded by a nuclear gene and is ultimately located within the plastids after being synthesized as a precursor.,"enoyl-ACP reductase, nuclear gene, plastid",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,"Immunological detection of NADH-specific enoyl-ACP reductase from rape seed (Brassica napus)--induction, relationship of alpha and beta polypeptides, mRNA translation and interaction with ACP.",156
2194572,numerical,"What experimental technique revealed that the beta polypeptide of enoyl-ACP reductase was not present in fresh seed tissue, leading to the conclusion that it was a proteolytic artifact?","The absence of the beta polypeptide in fresh seeds was demonstrated through immunoblotting, which supported the conclusion that it is produced by proteolysis during the isolation procedure.","enoyl-ACP reductase, beta polypeptide, immunoblotting, proteolysis",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,"Immunological detection of NADH-specific enoyl-ACP reductase from rape seed (Brassica napus)--induction, relationship of alpha and beta polypeptides, mRNA translation and interaction with ACP.",156
40725004,factual,"According to the transcriptome analysis, which four genes were proposed as significant contributors to the regulation of oleic acid levels in sunflower seeds?","The study suggested that the omega-6 fatty acid desaturase gene (FAD6/FAD2), diacylglyceroyltransferase gene (DGAT), glycerol-3-phosphate acyltransferase gene (GPAT), and long-chain acyl-CoA synthase gene (LACS) are key regulators of oleic acid content.","FAD6/FAD2, DGAT, GPAT, LACS, oleic acid",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Transcriptome Analysis Reveals Metabolic Pathways and Key Genes Involved in Oleic Acid Formation of Sunflower (<i>Helianthus annuus</i> L.).,225
40725004,numerical,What were the key characteristics of the sunflower lines and the specific time points chosen for the transcriptome sequencing experiment?,"The experiment utilized two inbred sunflower lines with contrasting oleic acid concentrations (one high at 82.5% and one low at 30.8%) and collected seed samples at three distinct developmental stages: 10, 20, and 30 days after full bloom.","sunflower inbred lines, oleic acid, transcriptome sequencing, days after full bloom",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Transcriptome Analysis Reveals Metabolic Pathways and Key Genes Involved in Oleic Acid Formation of Sunflower (<i>Helianthus annuus</i> L.).,225
7624314,factual,What functional evidence confirmed that the gene isolated from the castor-oil plant indeed encoded an oleate hydroxylase?,"The introduction and expression of the gene from the castor-oil plant into transgenic tobacco resulted in the production of 12-hydroxyoleic acid in the tobacco seeds, thereby confirming its function as an oleate hydroxylase.","oleate 12-hydroxylase, Ricinus communis, transgenic tobacco, 12-hydroxyoleic acid",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,An oleate 12-hydroxylase from Ricinus communis L. is a fatty acyl desaturase homolog.,169
7624314,numerical,What was the approximate percentage of sequence homology between the identified castor hydroxylase polypeptide and the microsomal oleate desaturase from Arabidopsis?,The polypeptide identified from the castor-oil plant shared approximately 67% sequence homology with the microsomal oleate desaturase from Arabidopsis.,"oleate 12-hydroxylase, Ricinus communis, oleate desaturase, Arabidopsis",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,An oleate 12-hydroxylase from Ricinus communis L. is a fatty acyl desaturase homolog.,169
19759341,factual,"What is the enzymatic classification of the protein encoded by AT5G41040, and what is its primary role in the biosynthesis of suberin?","The protein encoded by AT5G41040 is a member of the BAHD family of acyltransferases and functions as a feruloyl transferase, which is essential for incorporating ferulate into the suberin polymer.","AT5G41040, BAHD family, ferulate, suberin",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Identification of an Arabidopsis feruloyl-coenzyme A transferase required for suberin synthesis.,254
19759341,numerical,"In the seeds of at5g41040-knockout plants, what was the quantitative relationship observed between the reduction of ferulate and the levels of aliphatic monomers with omega-hydroxyl groups?","In the seeds of at5g41040-knockout plants, the reduction in ferulate was associated with an approximate stoichiometric decrease in the quantity of aliphatic monomers that possess omega-hydroxyl groups.","at5g41040, ferulate, aliphatic monomers, omega-hydroxyl groups",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Identification of an Arabidopsis feruloyl-coenzyme A transferase required for suberin synthesis.,254
11457976,factual,What molecule was demonstrated to counteract the suppressive effect of oleoyl-coenzyme A on the transport of glucose-6-phosphate into pea root plastids?,The inhibition of glucose-6-phosphate uptake by oleoyl-CoA was reversed by the addition of a recombinant acyl-CoA binding protein from rapeseed.,"oleoyl-coenzyme A, glucose-6-phosphate, acyl-CoA binding protein",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Fatty acid synthesis in pea root plastids is inhibited by the action of long-chain acyl- coenzyme as on metabolite transporters.,218
11457976,numerical,"By what percentage did oleoyl-CoA reduce the incorporation of acetate into fatty acids, and what experimental condition produced a similar level of reduction?","Oleoyl-CoA inhibited acetate incorporation into fatty acids by 67%, which was a similar decrease to that observed when ATP was omitted from the incubations.","oleoyl-CoA, acetate, fatty acids, ATP",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Fatty acid synthesis in pea root plastids is inhibited by the action of long-chain acyl- coenzyme as on metabolite transporters.,218
5725883,factual,"How did a genetic alteration at the xan-f locus, which obstructs chlorophyll production, impact the synthesis of major polar lipids?","This mutation suppressed the incorporation of acetate into phospholipids, sulfolipids, and galactolipids, redirecting the precursor into a fraction containing steroids and free fatty acids.","xan-f locus, chlorophyll, phospho-lipids, sulfo-lipids, galacto-lipids, acetate",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Lipid biosynthesis in chloroplast mutants of barley.,255
5725883,numerical,"Which genetic variant demonstrated a significantly enhanced synthesis of radiolabeled linolenic acid, and what was the primary destination molecule for this newly formed fatty acid?","Mutants at the xan-m locus showed increased synthesis of linolenic acid-(14)C, which was predominantly incorporated into monogalactosyl diglycerides.","xan-m locus, linolenic acid-(14)C, monogalactosyl diglycerides",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Lipid biosynthesis in chloroplast mutants of barley.,255
22175798,factual,"Between the two olive varieties studied, Arbequina and Picual, which one demonstrated a more significant restriction on the synthesis of aromatic compounds due to lipoxygenase (LOX) activity?",The study revealed that the Picual cultivar experienced a substantially greater limitation on the formation of volatile compounds by lipoxygenase activity compared to the Arbequina cultivar.,"Lipoxygenase (LOX) activity, Picual cultivar, Arbequina cultivar, volatile compounds",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Synthesis of volatile compounds of virgin olive oil is limited by the lipoxygenase activity load during the oil extraction process.,132
22175798,numerical,What two experimental approaches were implemented to intentionally alter the lipoxygenase (LOX) activity levels during the virgin olive oil extraction process?,The researchers modulated the lipoxygenase activity load by introducing external (exogenous) LOX and by applying specific chemical inhibitors of the enzyme.,"Lipoxygenase (LOX) activity, exogenous LOX, LOX inhibitors, oil extraction process",medium,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Synthesis of volatile compounds of virgin olive oil is limited by the lipoxygenase activity load during the oil extraction process.,132
7979400,factual,"What is the identified enzymatic deficiency in the Brassica rapa mutant WR586, and what is the resulting impact on its polyunsaturated fatty acid content?","The WR586 mutant is deficient in oleoyl-phosphatidylcholine desaturase (ODS) activity, which leads to a reduced accumulation of polyunsaturated fatty acids.","Brassica rapa mutant WR586, oleoyl-phosphatidylcholine desaturase, polyunsaturated fatty acids",easy,Fatty Acid Biosynthesis Pathways,1.0,Fatty Acid Biosynthesis Pathways,Biochemical characterization of temperature-induced changes in lipid metabolism in a high oleic acid mutant of Brassica rapa.,234
