phase,category,question,check,cypher_executable,generated_cypher,generation_type
Phase 1,Simple Relationship Queries - Outgoing,What enzymes does gene ath:AT1G01050 encode?,1.0,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are encoded by gene ats:109733199?,1.0,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Show enzymes for gene ats:109761713,1.0,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,What does gene ath:AT1G54220 encode?,1.0,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Simple Relationship Queries - Outgoing,List enzyme functions of gene ath:AT2G06990,1.0,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Get EC numbers for gene ath:AT5G61540,1.0,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC) RETURN e,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Which ortholog group does gene gmx:100217331 belong to?,1.0,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,Template
Phase 1,Simple Relationship Queries - Outgoing,Show ortholog for gene ats:109745953,1.0,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,Template
Phase 1,Simple Relationship Queries - Outgoing,What ortholog contains gene gmx:100037478?,1.0,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,Template
Phase 1,Simple Relationship Queries - Outgoing,Find ortholog group of gene ath:AT1G01040,1.0,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,Template
Phase 1,Simple Relationship Queries - Outgoing,Get ortholog for gene ath:AT1G01050,1.0,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]-(o:Ortholog) RETURN o,Template
Phase 1,Simple Relationship Queries - Outgoing,Which KO group includes gene K10246?,1.0,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (n:Ortholog) WHERE n.id STARTS WITH 'K10246' RETURN n LIMIT 20,Template
Phase 1,Simple Relationship Queries - Outgoing,Which reactions use compound C06000 as substrate?,1.0,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,What reactions consume compound C00164?,1.0,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Show reactions where C06000 is a substrate,1.0,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that use compound C08813,1.0,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Get reactions with C06000 as input,1.0,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Which reactions require compound C03069?,1.0,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,What reactions does EC:1.14.13.1 catalyze?,1.0,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are catalyzed by enzyme EC:1.14.13.1?,1.0,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Show reactions for enzyme EC:1.3.1.9,1.0,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that EC:1.14.13.1 catalyzes,1.0,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Get reactions catalyzed by EC:6.2.1.3,1.0,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does enzyme EC:2.1.1.369 perform?,1.0,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,What reactions does ortholog R10826 catalyze?,1.0,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (n:Reaction {id: 'R10826'}) RETURN n,Template
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are performed by KO K09458?,1.0,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Show reactions catalyzed by ortholog R03777,1.0,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (n:Reaction {id: 'R03777'}) RETURN n,Template
Phase 1,Simple Relationship Queries - Outgoing,Find reactions for ortholog group K00059,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Get reactions that K00059 catalyzes,1.0,MATCH (o:Ortholog {id: 'R02814'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does ortholog K00059 perform?,1.0,MATCH (o:Ortholog {id: 'R04957'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,What enzyme functions does ortholog K00059 have?,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are associated with KO K11262?,1.0,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Show enzyme functions of ortholog K00249,1.0,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Find EC numbers for ortholog K01897,1.0,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Get enzyme activities of K00059,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]-(r:Reaction) RETURN r,Template
Phase 1,Simple Relationship Queries - Outgoing,Which enzymes does ortholog K00059 correspond to?,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,Which functional units include gene ats:109733199?,1.0,MATCH (n {id: 'ats:109733199'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'ats:109733199'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Simple Relationship Queries - Outgoing,Show functional units for ortholog K00626,1.0,MATCH (n {id: 'K00626'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (o:Ortholog {id: 'K00626'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Outgoing,What functional units contain gene ats:109761713?,1.0,MATCH (n {id: 'ats:109761713'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'ats:109761713'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Simple Relationship Queries - Outgoing,Find functional units with ortholog K13356,1.0,MATCH (n {id: 'K13356'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'K13356'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Simple Relationship Queries - Outgoing,Get functional units for gene ath:AT1G54220,1.0,MATCH (n {id: 'AT1G54220'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,Template
Phase 1,Simple Relationship Queries - Outgoing,Which complexes does ortholog K09754 belong to?,1.0,MATCH (n {id: 'K09754'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (o:Ortholog {id: 'K09754'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,Template
Phase 1,Simple Relationship Queries - Incoming,Which genes encode enzyme EC:2.3.1.199?,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Show genes that produce EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Find genes encoding EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Get genes for enzyme EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Which genes code for EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,List genes that encode EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Which genes belong to ortholog K00382?,1.0,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00382'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Show genes in KO group K00382,1.0,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00382'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Find genes for ortholog K10246,1.0,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K10246'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K10246'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Get genes in ortholog K09458,1.0,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K09458'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K09458'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,Which genes are in KO K00059?,1.0,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00059'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,List genes belonging to ortholog K00059,1.0,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00059'}) RETURN g,Template
Phase 1,Simple Relationship Queries - Incoming,What are the substrates of reaction R07449?,1.0,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,Template
Phase 1,Simple Relationship Queries - Incoming,Which compounds are inputs to reaction R07449?,1.0,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C00183'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,Template
Phase 1,Simple Relationship Queries - Incoming,Show substrates for reaction R00200,1.0,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00200'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R00200'}) RETURN c,Template
Phase 1,Simple Relationship Queries - Incoming,Find input compounds of reaction R07449,1.0,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C00141'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,Template
Phase 1,Simple Relationship Queries - Incoming,Get substrates of reaction R07764,1.0,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07764'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07764'}) RETURN c,Template
Phase 1,Simple Relationship Queries - Incoming,Which compounds does reaction  R07449 consume?,1.0,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C01181'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,Template
Phase 1,Simple Relationship Queries - Incoming,Which enzymes catalyze reaction R07449?,1.0,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R07449'}) RETURN n,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R07449'}) RETURN e,Template
Phase 1,Simple Relationship Queries - Incoming,Show catalysts for reaction R01280,1.0,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R01280'}) RETURN n,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R01280'}) RETURN e,Template
Phase 1,Simple Relationship Queries - Incoming,What orthologs perform reaction R06870?,1.0,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06870'}) RETURN n,MATCH (reaction:Reaction {id: 'R06870'})<-[:CATALYZES]-(protein:Protein)<-[:ENCODES]-(gene:Gene)-[:HAS_ORTHOLOG]->(ortholog:Gene) RETURN ortholog,Template
Phase 1,Simple Relationship Queries - Incoming,Find enzymes that catalyze reaction  R07449,1.0,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R07449'}) RETURN n,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R07449'}) RETURN e,Template
Phase 1,Simple Relationship Queries - Incoming,Get catalysts of reaction R06871,1.0,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06871'}) RETURN n,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R06871'}) RETURN e,Template
Phase 1,Simple Relationship Queries - Incoming,Which EC numbers catalyze reaction R10826?,1.0,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R10826'}) RETURN n,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R10826'}) RETURN e,Template
Phase 1,Simple Relationship Queries - Incoming,Which reactions produce compound C00422?,1.0,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,Template
Phase 1,Simple Relationship Queries - Incoming,Show reactions that generate C00422,1.0,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,Template
Phase 1,Simple Relationship Queries - Incoming,Find reactions producing compound C00052,1.0,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00052'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00052'}) RETURN r,Template
Phase 1,Simple Relationship Queries - Incoming,Get reactions that make C00422,1.0,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,Template
Phase 1,Simple Relationship Queries - Incoming,Which reactions output compound C06157?,1.0,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C06157'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C06157'}) RETURN r,Template
Phase 1,Simple Relationship Queries - Incoming,What reactions synthesize C00422?,1.0,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,Template
Phase 1,Pathway-centric Queries,What reactions are in pathway path:ath00061?,1.0,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Pathway-centric Queries,Show reactions in path:ats00603 pathway,1.0,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Pathway-centric Queries,Find reactions in pathway path:ats00280,1.0,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Pathway-centric Queries,Get reactions for path:gmx01040 pathway,1.0,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Pathway-centric Queries,Which reactions are part of pathway path:ath00280?,1.0,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Pathway-centric Queries,List reactions in path:gmx00603 pathway,1.0,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]-(r:Reaction) RETURN r,Template
Phase 1,Pathway-centric Queries,What functional units are in pathway path:gmx00061?,1.0,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,Template
