phase,category,question,check,cypher_executable
Phase 1,Simple Relationship Queries - Outgoing,Which ortholog group does gene gmx:100217331 belong to?,1,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 1,Simple Relationship Queries - Outgoing,Show ortholog for gene ats:109745953,1,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 1,Simple Relationship Queries - Outgoing,What ortholog contains gene gmx:100037478?,1,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 1,Simple Relationship Queries - Outgoing,Find ortholog group of gene ath:AT1G01040,1,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 1,Simple Relationship Queries - Outgoing,Get ortholog for gene ath:AT1G01050,1,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 1,Simple Relationship Queries - Outgoing,Which KO group includes gene K10246?,1,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]->(o:Ortholog) RETURN o
Phase 1,Simple Relationship Queries - Outgoing,Which reactions use compound C06000 as substrate?,1,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,What reactions consume compound C00164?,1,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Show reactions where C06000 is a substrate,1,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that use compound C08813,1,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Get reactions with C06000 as input,1,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Which reactions require compound C03069?,1,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,What reactions does EC:1.14.13.1 catalyze?,1,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are catalyzed by enzyme EC:1.14.13.1?,1,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Show reactions for enzyme EC:1.3.1.9,1,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that EC:1.14.13.1 catalyzes,1,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Get reactions catalyzed by EC:6.2.1.3,1,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does enzyme EC:2.1.1.369 perform?,1,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,What reactions does ortholog R10826 catalyze?,1,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are performed by KO K09458?,1,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Show reactions catalyzed by ortholog R03777,1,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Find reactions for ortholog group K00059,1,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Get reactions that K00059 catalyzes,1,MATCH (o:Ortholog {id: 'R02814'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does ortholog K00059 perform?,1,MATCH (o:Ortholog {id: 'R04957'})-[:CATALYZES]->(r:Reaction) RETURN r
Phase 1,Simple Relationship Queries - Outgoing,What enzyme functions does ortholog K00059 have?,1,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are associated with KO K11262?,1,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Show enzyme functions of ortholog K00249,1,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Find EC numbers for ortholog K01897,1,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Get enzyme activities of K00059,1,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Which enzymes does ortholog K00059 correspond to?,1,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e
Phase 1,Simple Relationship Queries - Outgoing,Which functional units include gene ats:109733199?,1,MATCH (n {id: 'ats:109733199'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
Phase 1,Simple Relationship Queries - Outgoing,Show functional units for ortholog K00626,1,MATCH (n {id: 'K00626'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
Phase 1,Simple Relationship Queries - Outgoing,What functional units contain gene ats:109761713?,1,MATCH (n {id: 'ats:109761713'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
Phase 1,Simple Relationship Queries - Outgoing,Find functional units with ortholog K13356,1,MATCH (n {id: 'K13356'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
Phase 1,Simple Relationship Queries - Outgoing,Get functional units for gene ath:AT1G54220,1,MATCH (n {id: 'AT1G54220'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
Phase 1,Simple Relationship Queries - Outgoing,Which complexes does ortholog K09754 belong to?,1,MATCH (n {id: 'K09754'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
Phase 1,Simple Relationship Queries - Incoming,Which genes encode enzyme EC:2.3.1.199?,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Show genes that produce EC:2.3.1.199,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Find genes encoding EC:2.3.1.199,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Get genes for enzyme EC:2.3.1.199,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Which genes code for EC:2.3.1.199,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,List genes that encode EC:2.3.1.199,1,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Which genes belong to ortholog K00382?,1,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Show genes in KO group K00382,1,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Find genes for ortholog K10246,1,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K10246'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Get genes in ortholog K09458,1,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K09458'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,Which genes are in KO K00059?,1,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,List genes belonging to ortholog K00059,1,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'}) RETURN g
Phase 1,Simple Relationship Queries - Incoming,What are the substrates of reaction R07449?,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'}) RETURN c
Phase 1,Simple Relationship Queries - Incoming,Which compounds are inputs to reaction R07449?,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C00183'}) RETURN c
Phase 1,Simple Relationship Queries - Incoming,Show substrates for reaction R00200,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00200'}) RETURN c
Phase 1,Simple Relationship Queries - Incoming,Find input compounds of reaction R07449,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C00141'}) RETURN c
Phase 1,Simple Relationship Queries - Incoming,Get substrates of reaction R07764,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07764'}) RETURN c
Phase 1,Simple Relationship Queries - Incoming,Which compounds does reaction  R07449 consume?,1,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C01181'}) RETURN c
Phase 1,Simple Relationship Queries - Incoming,Which enzymes catalyze reaction R07449?,1,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R07449'}) RETURN n
Phase 1,Simple Relationship Queries - Incoming,Show catalysts for reaction R01280,1,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R01280'}) RETURN n
Phase 1,Simple Relationship Queries - Incoming,What orthologs perform reaction R06870?,1,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06870'}) RETURN n
Phase 1,Simple Relationship Queries - Incoming,Find enzymes that catalyze reaction  R07449,1,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R07449'}) RETURN n
Phase 1,Simple Relationship Queries - Incoming,Get catalysts of reaction R06871,1,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06871'}) RETURN n
Phase 1,Simple Relationship Queries - Incoming,Which EC numbers catalyze reaction R10826?,1,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R10826'}) RETURN n
Phase 1,Simple Relationship Queries - Incoming,Which reactions produce compound C00422?,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
Phase 1,Simple Relationship Queries - Incoming,Show reactions that generate C00422,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
Phase 1,Simple Relationship Queries - Incoming,Find reactions producing compound C00052,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00052'}) RETURN r
Phase 1,Simple Relationship Queries - Incoming,Get reactions that make C00422,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
Phase 1,Simple Relationship Queries - Incoming,Which reactions output compound C06157?,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C06157'}) RETURN r
Phase 1,Simple Relationship Queries - Incoming,What reactions synthesize C00422?,1,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
Phase 1,Pathway-centric Queries,What reactions are in pathway path:ath00061?,1,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 1,Pathway-centric Queries,Show reactions in path:ats00603 pathway,1,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 1,Pathway-centric Queries,Find reactions in pathway path:ats00280,1,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 1,Pathway-centric Queries,Get reactions for path:gmx01040 pathway,1,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 1,Pathway-centric Queries,Which reactions are part of pathway path:ath00280?,1,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 1,Pathway-centric Queries,List reactions in path:gmx00603 pathway,1,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction) RETURN r
Phase 1,Pathway-centric Queries,What functional units are in pathway path:gmx00061?,1,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
Phase 1,Pathway-centric Queries,Show complexes in path:ath00061 pathway,1,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
Phase 1,Pathway-centric Queries,Find functional units in pathway path:ats00603,1,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
Phase 1,Pathway-centric Queries,Get complexes in path:ats00280 pathway,1,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
Phase 1,Pathway-centric Queries,Which functional units are part of pathway path:gmx01040?,1,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
Phase 1,Pathway-centric Queries,List complexes in fatty acid biosynthesis,1,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
Phase 1,Reverse Pathway Queries,Which pathways contain reaction R07449?,1,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
Phase 1,Reverse Pathway Queries,Show pathways with reaction R07449,1,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
Phase 1,Reverse Pathway Queries,Find pathways including reaction R07449,1,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
Phase 1,Reverse Pathway Queries,Get pathways for reaction R07449,1,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
Phase 1,Reverse Pathway Queries,Which pathways have reaction R00200?,1,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R00200'}) RETURN p
Phase 1,Reverse Pathway Queries,List pathways containing reaction R07449,1,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
Phase 1,Aggregation Queries,How many enzymes does gene ats:109733199 encode?,1,MATCH (n {id: 'ats:109733199'})-[r]->(m) RETURN count(r)
Phase 1,Aggregation Queries,Count reactions catalyzed by EC:1.1.1.1,1,MATCH (n {id: 'EC:1.1.1.1'})-[r]->(m) RETURN count(r)
Phase 1,Aggregation Queries,How many reactions use compound C00022 as substrate?,,MATCH (n {id: 'C00022'})-[r]->(m) RETURN count(r)
Phase 1,Aggregation Queries,Count genes in ortholog K00010,,MATCH (n)-[r]->(m:{id:'K00010'}) RETURN count(r)
Phase 1,Aggregation Queries,How many reactions are in pathway ko00010?,,MATCH (n {id: $id})-[r]->(m) RETURN count(r)
Phase 1,Aggregation Queries,Count functional units in pathway ko00020,,MATCH (n {id: $id})-[r]->(m) RETURN count(r)
Phase 1,Aggregation Queries,How many genes encode enzyme EC:1.1.1.1?,,MATCH (n)-[r]->(m {id: 'EC:1.1.1.1'}) RETURN count(r)
Phase 1,Aggregation Queries,Count genes in ortholog K00010,,MATCH (n)-[r]->(m {id: 'K00010'}) RETURN count(r)
Phase 1,Aggregation Queries,How many reactions produce compound C00022?,,MATCH (n)-[r]->(m {id: 'C00022'}) RETURN count(r)
Phase 1,Aggregation Queries,Count enzymes that catalyze reaction R00001?,,MATCH (n)-[r]->(m {id: 'R00001'}) RETURN count(r)
Phase 1,Aggregation Queries,How many compounds are substrates of reaction R00010?,,MATCH (n)-[r]->(m {id: 'R00010'}) RETURN count(r)
Phase 1,Aggregation Queries,Count reactions in pathway ko00010,,MATCH (n)-[r]->(m {id: $id}) RETURN count(r)
Phase 1,Aggregation Queries,What types of nodes is gene ats:109761713 connected to?,,MATCH (n {id: 'ats:109761713'})-[]->(m) RETURN DISTINCT labels(m)
Phase 1,Aggregation Queries,Show node types connected to pathway path:ats01040,,MATCH (n {id: 'path:ats01040'})-[]->(m) RETURN DISTINCT labels(m)
Phase 1,Aggregation Queries,What entities does compound C06000 interact with?,,MATCH (n {id: 'C06000'})-[]->(m) RETURN DISTINCT labels(m)
Phase 1,Aggregation Queries,List node types connected to enzyme EC:1.3.1.21,,MATCH (n {id: 'EC:1.3.1.21'})-[]->(m) RETURN DISTINCT labels(m)
Phase 1,Aggregation Queries,What types of nodes connect to reaction R07764?,,MATCH (n {id: 'R07764'})-[]->(m) RETURN DISTINCT labels(m)
Phase 1,Aggregation Queries,Show entity types linked to ortholog K11262,,MATCH (n {id: 'K11262'})-[]->(m) RETURN DISTINCT labels(m)
Phase 1,Aggregation Queries,What is connected to gene ath:AT1G54220?,,MATCH (n {id: 'AT1G54220'})-[]-(m) RETURN m
Phase 1,Aggregation Queries,Show all neighbors of compound C00164,,MATCH (n {id: 'C00164'})-[]-(m) RETURN m
Phase 1,Aggregation Queries,Find all entities connected to enzyme EC:1.13.11.33,,MATCH (n {id: 'EC:1.13.11.33'})-[]-(m) RETURN m
Phase 1,Aggregation Queries,Get neighbors of reaction R01280,,MATCH (n {id: 'R01280'})-[]-(m) RETURN m
Phase 1,Aggregation Queries,What connects to pathway path:gmx00280?,,MATCH (n {id: 'path:gmx00280'})-[]-(m) RETURN m
Phase 1,Aggregation Queries,Show all nodes linked to ortholog K00249,,MATCH (n {id: 'K00249'})-[]-(m) RETURN m
Phase 1,Aggregation Queries,Which pathways have the most reactions?,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Phase 1,Aggregation Queries,Rank pathways by number of reactions,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Phase 1,Aggregation Queries,Show pathway sizes based on reaction count,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Phase 1,Aggregation Queries,Find largest pathways by reaction R06871 number,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Phase 1,Aggregation Queries,Order pathways by reaction count,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Phase 1,Aggregation Queries,List pathways from most to least reactions,,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) RETURN p.id, count(r) ORDER BY count(r) DESC"
Phase 1,Aggregation Queries,Which genes encode multiple enzymes?,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Phase 1,Aggregation Queries,Find orthologs that catalyze more than 5 reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Phase 1,Aggregation Queries,Show compounds used in multiple reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Phase 1,Aggregation Queries,Which enzymes catalyze more than 3 reactions?,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Phase 1,Aggregation Queries,Find pathways with more than 10 reactions,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Phase 1,Aggregation Queries,List reactions with multiple substrates,,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g"
Phase 1,Filtering & Pattern Matching,Find genes starting with AT1G,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Phase 1,Filtering & Pattern Matching,Show enzymes starting with EC:1.1,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Phase 1,Filtering & Pattern Matching,Get compounds starting with C000,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Phase 1,Filtering & Pattern Matching,List pathways starting with path:ats00280,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Phase 1,Filtering & Pattern Matching,Find reactions starting with R000,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Phase 1,Filtering & Pattern Matching,Show orthologs starting with K00,,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n
Phase 1,Filtering & Pattern Matching,Which genes encode enzymes?,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Find compounds that are substrates,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Show enzymes that catalyze reactions,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Get reactions with substrates,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Which pathways contain reactions?,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Find orthologs with enzyme EC:1.3.1.9 functions,,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Which genes don't encode any enzymes?,1,MATCH (g:Gene) WHERE NOT EXISTS((g)-[:ENCODES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Find compounds that aren't substrates,1,MATCH (g:Compound) WHERE NOT EXISTS((g)-[:SUBSTRATE_OF]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Show enzymes that don't catalyze reactions,1,MATCH (g:EC) WHERE NOT EXISTS((g)-[:CATALYZES]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Get reactions without products,1,MATCH (g:Reaction) WHERE NOT EXISTS((g)-[:PRODUCTS]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Find orthologs without enzyme functions,1,MATCH (g:Ortholog) WHERE NOT EXISTS((g)-[:HAS_ENZYME_FUNCTION]->()) RETURN g
Phase 1,Filtering & Pattern Matching,Show both genes and orthologs,1,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100
Phase 1,Filtering & Pattern Matching,Find either enzymes or reactions,1,MATCH (n) WHERE n:EC OR n:Reaction RETURN n LIMIT 100
Phase 1,Filtering & Pattern Matching,Get compounds or pathways,1,MATCH (n) WHERE n:Gene OR n:Ortholog RETURN n LIMIT 100
Phase 1,Filtering & Pattern Matching,List genes and enzymes,1,MATCH (n) WHERE n:Gene OR n:EC RETURN n LIMIT 100
Phase 1,Filtering & Pattern Matching,Show reactions and compounds,1,MATCH (n) WHERE n:Reaction OR n:Compounds RETURN n LIMIT 100
Phase 1,Filtering & Pattern Matching,Find orthologs or functional units,1,MATCH (n) WHERE n:Ortholog OR n:FunctionalUnit RETURN n LIMIT 100
