phase,category,question,generated_cypher,answer,if_correct
Phase 1,Direct Entity Lookup,Count all enzymes,"MATCH (e:EC)
RETURN count(e) AS enzymeCount;",297,1
Phase 1,Direct Entity Lookup,Does gene gmx:100037478 exist?,"MATCH (g:Gene {id: 'gmx:100037478'})
RETURN count(g) > 0 AS exists;","Yes, gene gmx:100037478 exists.",1
Phase 1,Direct Entity Lookup,Is there a pathway path:gmx00280?,"MATCH (p:Pathway {id: 'gmx00280'})
RETURN p;",I don't know the answer.,0
Phase 1,Direct Entity Lookup,Do we have compound C00052?,"MATCH (c:Compound {id: 'C00052'})
RETURN c;",['C00052'],1
Phase 1,Direct Entity Lookup,Check if enzyme EC:1.3.1.10 exists,"MATCH (e:EC {id: '1.3.1.10'})
RETURN e;",I don't know the answer.,0
Phase 1,Direct Entity Lookup,Is reaction R07449 in the database?,"MATCH (r:Reaction {id: 'R07449'})
RETURN r;",['R07449'],1
Phase 1,Direct Entity Lookup,What are the properties of gene ath:AT1G01040?,"MATCH (g:Gene {id: 'ath:AT1G01040'})
RETURN g;",I don't know the answer.,1
Phase 1,Direct Entity Lookup,Show all properties of pathway path:gmx00061,"MATCH (p:Pathway {id: 'path:gmx00061'})
RETURN p;",['path:gmx00061'],1
Phase 1,Direct Entity Lookup,Get information about compound C06157,"MATCH (c:Compound {id: 'C06157'})
OPTIONAL MATCH (c)-[:SUBSTRATE_OF]->(r:Reaction)
OPTIONAL MATCH (r)-[:PRODUCES]->(c)
RETURN c.id AS compound_id,
       c.name AS compound_name,
       c.names AS compound_names,
       c.formula AS formula,
       c.link AS link,
       c.exact_mass AS exact_mass,
       collect(DISTINCT r.id) AS reaction_ids,
       collect(DISTINCT r.name) AS reaction_names;","Compound C06157 is “[Dihydrolipoyllysine‑residue succinyltransferase] S‑glutaryldihydrolipoyllysine,” also known as “S‑Glutaryldihydrolipoamide‑E.”  
Formula: **C13H22NO4S2R**  
Link: https://rest.kegg.jp/get/C06157  
Exact mass: not provided.  
Reaction IDs: none.  
Reaction names: none.",0
Phase 1,Direct Entity Lookup,Display properties of enzyme EC:4.2.1.59,"MATCH (e:EC {id: '4.2.1.59'})
RETURN e;",I don't know the answer.,0
Phase 1,Direct Entity Lookup,What information is stored for reaction R00200?,"MATCH (r:Reaction {id: 'R00200'})
RETURN r.id AS id, r.name AS name, r.equation AS equation, r.link AS link, r.definition AS definition;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,What enzymes does gene ath:AT1G01050 encode?,"MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC)
RETURN e;",['EC:3.6.1.1'],1
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are encoded by gene ats:109733199?,"MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]->(ec:EC)
RETURN ec.id AS ec_id;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Show enzymes for gene ats:109761713,"MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)
RETURN g.name AS geneName, e.name AS enzymeName, e.id AS enzymeId;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,What does gene ath:AT1G54220 encode?,"MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(ec:EC)
RETURN ec.name AS enzymeName, ec.id AS enzymeId;",It encodes dihydrolipoyllysine‑residue acetyltransferase.,1
Phase 1,Simple Relationship Queries - Outgoing,List enzyme functions of gene ath:AT2G06990,"MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(ec:EC)
RETURN DISTINCT ec.name AS enzymeFunction, ec.id AS ecId
UNION
MATCH (g:Gene {id: 'ath:AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN DISTINCT ec.name AS enzymeFunction, ec.id AS ecId;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Get EC numbers for gene ath:AT5G61540,"MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(ec:EC)
RETURN ec.id;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Which ortholog group does gene gmx:100217331 belong to?,"MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)
RETURN o.name AS orthologGroup;",acyl‑[acyl‑carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26],1
Phase 1,Simple Relationship Queries - Outgoing,Show ortholog for gene ats:109745953,"MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)
RETURN o;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,What ortholog contains gene gmx:100037478?,"MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog)
RETURN o;",['K03921'],1
Phase 1,Simple Relationship Queries - Outgoing,Find ortholog group of gene ath:AT1G01040,"MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)
RETURN o;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Get ortholog for gene ath:AT1G01050,"MATCH (g:Gene {id:'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)
RETURN o;",['K01507'],1
Phase 1,Simple Relationship Queries - Outgoing,Which KO group includes gene K10246?,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog)
WHERE g.id = 'K10246'
RETURN o.id AS KOGroup;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Which reactions use compound C06000 as substrate?,"MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction)
RETURN r;",['R05064'],1
Phase 1,Simple Relationship Queries - Outgoing,What reactions consume compound C00164?,"MATCH (c:Compound {id: 'C00164'})<-[:SUBSTRATE_OF]-(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Show reactions where C06000 is a substrate,"MATCH (c:Compound {id: ""C06000""})-[:SUBSTRATE_OF]->(r:Reaction)
RETURN r.id, r.name, r.equation;",R05064,1
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that use compound C08813,"MATCH (c:Compound {id: 'C08813'})<-[:SUBSTRATE_OF]-(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Get reactions with C06000 as input,"MATCH (c:Compound {id: ""C06000""})<-[:SUBSTRATE_OF]-(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions require compound C03069?,"MATCH (c:Compound {id: 'C03069'})<-[:SUBSTRATE_OF]-(r:Reaction)
RETURN r.id AS reactionId, r.name AS reactionName, r.equation AS equation",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,What reactions does EC:1.14.13.1 catalyze?,"MATCH (ec:EC {id: '1.14.13.1'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are catalyzed by enzyme EC:1.14.13.1?,"MATCH (e:EC {id: '1.14.13.1'})-[:CATALYZES]->(r:Reaction)
RETURN r.id, r.name, r.equation;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Show reactions for enzyme EC:1.3.1.9,"MATCH (e:EC {id: '1.3.1.9'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that EC:1.14.13.1 catalyzes,"MATCH (ec:EC {id: '1.14.13.1'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Get reactions catalyzed by EC:6.2.1.3,"MATCH (e:EC {id: '6.2.1.3'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does enzyme EC:2.1.1.369 perform?,"MATCH (e:EC {id:'2.1.1.369'})-[:CATALYZES]->(r:Reaction)
RETURN r.id, r.name, r.equation;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,What reactions does ortholog R10826 catalyze?,"MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction)
RETURN r.id, r.name, r.equation;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are performed by KO K09458?,"MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]->(r:Reaction)
RETURN r;","['rn:R02768', 'R02768', 'R04355', 'R04952', 'R04957', 'R04960', 'R04963', 'R04726', 'R04968', 'R07762']",1
Phase 1,Simple Relationship Queries - Outgoing,Show reactions catalyzed by ortholog R03777,"MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Outgoing,Find reactions for ortholog group K00059,"MATCH (o:Ortholog {id:'K00059'})
OPTIONAL MATCH (o)-[:CATALYZES]->(r1:Reaction)
OPTIONAL MATCH (o)-[:HAS_ENZYME_FUNCTION]->(e:EC)-[:CATALYZES]->(r2:Reaction)
WITH collect(r1) + collect(r2) AS reactions
UNWIND reactions AS r
RETURN DISTINCT r;","['rn:R02767', 'R02767', 'R04533', 'R04953', 'R04536', 'R04534', 'R04964', 'R04566', 'R04543', 'R07763']",0
Phase 1,Simple Relationship Queries - Outgoing,Get reactions that K00059 catalyzes,"MATCH (ec:EC {id: 'K00059'})-[:CATALYZES]->(r:Reaction)
RETURN r;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does ortholog K00059 perform?,"MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction)
RETURN r.id AS reaction_id, r.name AS reaction_name, r.equation AS equation;","I’m sorry, but I don’t have that information.",1
Phase 1,Simple Relationship Queries - Outgoing,What enzyme functions does ortholog K00059 have?,"MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC)
RETURN DISTINCT e.id AS ec_id, e.name AS ec_name, e.sysname AS ec_sysname, e.names AS ec_names;","3‑oxoacyl‑[acyl‑carrier‑protein] reductase, beta‑ketoacyl‑[acyl‑carrier protein] reductase, beta‑ketoacyl acyl carrier protein (ACP) reductase, beta‑ketoacyl reductase, beta‑ketoacyl thioester reductase, beta‑ketoacyl‑ACP reductase, beta‑ketoacyl‑acyl carrier protein reductase, 3‑ketoacyl acyl carrier protein reductase, NADPH‑specific 3‑oxoacyl‑[acyl‑carrier‑protein] reductase, 3‑oxoacyl‑[ACP] reductase, (3R)‑3‑hydroxyacyl‑[acyl‑carrier‑protein]:NADP⁺ oxidoreductase.",1
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are associated with KO K11262?,"MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id;","EC:6.3.4.14, EC:6.4.1.2",1
Phase 1,Simple Relationship Queries - Outgoing,Show enzyme functions of ortholog K00249,"MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id AS ec_id, ec.name AS enzyme_name, ec.sysname AS sysname, ec.names AS names, ec.link AS link;","medium‑chain acyl‑CoA dehydrogenase (also known as fatty acyl coenzyme A dehydrogenase, acyl coenzyme A dehydrogenase, acyl dehydrogenase, fatty‑acyl‑CoA dehydrogenase, acyl CoA dehydrogenase, general acyl CoA dehydrogenase, medium‑chain acyl‑coenzyme A dehydrogenase, acyl‑CoA:(acceptor) 2,3‑oxidoreductase, ACADM).",1
Phase 1,Simple Relationship Queries - Outgoing,Find EC numbers for ortholog K01897,"MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN ec.id AS ec_number, ec.name AS ec_name;",EC:6.2.1.3,1
Phase 1,Simple Relationship Queries - Outgoing,Get enzyme activities of K00059,"MATCH (ec:EC {id: 'K00059'})-[:CATALYZES]->(r:Reaction)
RETURN ec.id AS ec_id, ec.name AS ec_name, r.id AS reaction_id, r.name AS reaction_name;",I don't know the answer.,0
Phase 1,Simple Relationship Queries - Outgoing,Which enzymes does ortholog K00059 correspond to?,"MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC)
RETURN e.id AS enzymeId, e.name AS enzymeName, e.sysname AS enzymeSysname;",3‑oxoacyl‑[acyl‑carrier‑protein] reductase (EC 1.1.1.100) is the enzyme that ortholog K00059 corresponds to.,1
Phase 1,Simple Relationship Queries - Outgoing,Which functional units include gene ats:109733199?,"MATCH (g:Gene {id: 'ats:109733199'})-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN fu;",['path:ats03018_179'],1
Phase 1,Simple Relationship Queries - Outgoing,What functional units contain gene ats:109761713?,"MATCH (g:Gene {id: 'ats:109761713'})-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN fu.id AS id, fu.name AS name, fu.type AS type;",path:ats03018_244,1
Phase 1,Simple Relationship Queries - Outgoing,Get functional units for gene ath:AT1G54220,"MATCH (g:Gene {id: 'ath:AT1G54220'})-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN fu;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Which genes encode enzyme EC:2.3.1.199?,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: '2.3.1.199'})
RETURN DISTINCT g.id, g.name, g.symbol;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Show genes that produce EC:2.3.1.199,"MATCH (g:Gene)-[:ENCODES]->(ec:EC {id: '2.3.1.199'})
RETURN g.id, g.name, g.symbol, g.position, g.link, g.species;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Find genes encoding EC:2.3.1.199,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: '2.3.1.199'})
RETURN g;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Get genes for enzyme EC:2.3.1.199,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: '2.3.1.199'})
RETURN g;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Which genes code for EC:2.3.1.199,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: '2.3.1.199'})
RETURN g.id AS geneId, g.name AS geneName, g.symbol AS geneSymbol;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,List genes that encode EC:2.3.1.199,"MATCH (g:Gene)-[:ENCODES]->(e:EC {id: '2.3.1.199'})
RETURN g.id AS geneId, g.name AS geneName, g.symbol AS geneSymbol, g.position AS genePosition, g.link AS geneLink, g.species AS geneSpecies;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Which genes belong to ortholog K00382?,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'})
RETURN g;","['gmx:547523', 'gmx:100809578', 'gmx:100803176', 'gmx:100788043', 'gmx:100782004', 'gmx:100776304']",1
Phase 1,Simple Relationship Queries - Incoming,Show genes in KO group K00382,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'})
RETURN g;","['gmx:547523', 'gmx:100809578', 'gmx:100803176', 'gmx:100788043', 'gmx:100782004', 'gmx:100776304']",1
Phase 1,Simple Relationship Queries - Incoming,Find genes for ortholog K10246,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K10246'})
RETURN g.id, g.name, g.symbol, g.position, g.link, g.species;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Get genes in ortholog K09458,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K09458'})
RETURN g;","['gmx:548028', 'gmx:547591', 'gmx:547575', 'gmx:112997810', 'gmx:100818559', 'gmx:100808453', 'gmx:100798044', 'gmx:100794872', 'gmx:100790019', 'gmx:100306478']",1
Phase 1,Simple Relationship Queries - Incoming,Which genes are in KO K00059?,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id:'K00059'})
RETURN g.id, g.name, g.symbol, g.position, g.link, g.species;","I’m sorry, but I don’t have that information.",1
Phase 1,Simple Relationship Queries - Incoming,List genes belonging to ortholog K00059,"MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'})
RETURN g;","['gmx:100811718', 'gmx:100809809', 'gmx:100809416', 'gmx:100806814']",1
Phase 1,Simple Relationship Queries - Incoming,What are the substrates of reaction R07449?,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'})
RETURN c.id AS compoundId, c.name AS compoundName, c.names AS compoundNames;","I’m sorry, but I don’t have that information.",1
Phase 1,Simple Relationship Queries - Incoming,Which compounds are inputs to reaction R07449?,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'})
RETURN c.id, c.name, c.names, c.formula, c.exact_mass, c.link;",6-Deoxoteasterone,1
Phase 1,Simple Relationship Queries - Incoming,Show substrates for reaction R00200,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00200'})
RETURN c.id, c.name;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Find input compounds of reaction R07449,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'})
RETURN c.id AS id, c.name AS name, c.formula AS formula, c.exact_mass AS exact_mass, c.names AS names",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Get substrates of reaction R07764,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07764'})
RETURN c;",['C16220'],1
Phase 1,Simple Relationship Queries - Incoming,Which compounds does reaction  R07449 consume?,"MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'})
RETURN c;",['C15799'],1
Phase 1,Simple Relationship Queries - Incoming,Which enzymes catalyze reaction R07449?,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction {id: 'R07449'})
RETURN e.id AS enzymeId, e.name AS enzymeName, e.sysname AS enzymeSysname, e.link AS enzymeLink;",EC:1.14.-.-,1
Phase 1,Simple Relationship Queries - Incoming,Show catalysts for reaction R01280,"MATCH (r:Reaction {id: 'R01280'})<-[:CATALYZES]-(e:EC)
RETURN e.id AS ec_id, e.name AS ec_name, e.sysname AS ec_sysname, e.link AS ec_link;",long-chain-fatty-acid---CoA ligase,1
Phase 1,Simple Relationship Queries - Incoming,What orthologs perform reaction R06870?,"MATCH (o:Ortholog)-[:CATALYZES]->(r:Reaction {id:'R06870'})
RETURN o;",['K06124'],1
Phase 1,Simple Relationship Queries - Incoming,Find enzymes that catalyze reaction  R07449,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction {id:'R07449'})
RETURN e;",['EC:1.14.-.-'],1
Phase 1,Simple Relationship Queries - Incoming,Get catalysts of reaction R06871,"MATCH (ec:EC)-[:CATALYZES]->(r:Reaction {id:""R06871""})
RETURN ec;",['EC:3.1.3.75'],1
Phase 1,Simple Relationship Queries - Incoming,Which EC numbers catalyze reaction R10826?,"MATCH (e:EC)-[:CATALYZES]->(r:Reaction {id: 'R10826'})
RETURN DISTINCT e.id;",EC:1.1.1.330,1
Phase 1,Simple Relationship Queries - Incoming,Which reactions produce compound C00422?,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'})
RETURN r.id AS reaction_id, r.name AS reaction_name, r.equation AS equation;","R05333 (phospholipid:1,2-diacyl‑sn‑glycerol O‑acyltransferase) produces compound C00422.",1
Phase 1,Simple Relationship Queries - Incoming,Show reactions that generate C00422,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'})
RETURN r;",['R05333'],1
Phase 1,Simple Relationship Queries - Incoming,Find reactions producing compound C00052,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00052'})
RETURN r;",I don't know the answer.,1
Phase 1,Simple Relationship Queries - Incoming,Get reactions that make C00422,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'})
RETURN r;",['R05333'],1
Phase 1,Simple Relationship Queries - Incoming,Which reactions output compound C06157?,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C06157'})
RETURN r.id AS reactionId, r.name AS reactionName, r.equation AS equation;",R02571.,1
Phase 1,Simple Relationship Queries - Incoming,What reactions synthesize C00422?,"MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'})
RETURN r.id AS reactionId, r.name AS reactionName, r.equation AS equation;","R05333 (phospholipid:1,2-diacyl‑sn‑glycerol O‑acyltransferase) synthesizes C00422.",1
Phase 1,Pathway-centric Queries,What reactions are in pathway path:ath00061?,"MATCH (p:Pathway {id:'path:ath00061'})-[:CONTAINS]->(r:Reaction)
RETURN r;","['R04568', 'R01404', 'R01403', 'R00390', 'R12329', 'R02767', 'R10208', 'R02768', 'R12300', 'R01280']",1
Phase 1,Pathway-centric Queries,Show reactions in path:ats00603 pathway,"MATCH (p:Pathway {id: 'ats00603'})-[:CONTAINS]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Pathway-centric Queries,Find reactions in pathway path:ats00280,"MATCH (p:Pathway {id:'path:ats00280'})-[:CONTAINS]->(r:Reaction)
RETURN r;","['R02050', 'R03383', 'R03172', 'R01090', 'R04097', 'R07601', 'R02662', 'R02661', 'R04224', 'R05064']",1
Phase 1,Pathway-centric Queries,Get reactions for path:gmx01040 pathway,"MATCH (p:Pathway {id: 'gmx01040'})-[:CONTAINS]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Pathway-centric Queries,Which reactions are part of pathway path:ath00280?,"MATCH (p:Pathway {id:'path:ath00280'})-[:CONTAINS]->(r:Reaction)
RETURN r;","['R02050', 'R03383', 'R03172', 'R01090', 'R04097', 'R07601', 'R02662', 'R02661', 'R04224', 'R05064']",1
Phase 1,Pathway-centric Queries,List reactions in path:gmx00603 pathway,"MATCH (p:Pathway {id: 'gmx00603'})-[:CONTAINS]->(r:Reaction)
RETURN r;",I don't know the answer.,1
Phase 1,Pathway-centric Queries,What functional units are in pathway path:gmx00061?,"MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(fu:FunctionalUnit)
RETURN fu;",['path:gmx00061_331'],1
Phase 1,Pathway-centric Queries,Show complexes in path:ath00061 pathway,"MATCH (p:Pathway {id:'ath00061'})-[:CONTAINS]->(fu:FunctionalUnit)
WHERE fu.type = 'complex'
RETURN fu.id, fu.name, fu.type;",I don't know the answer.,1
Phase 1,Pathway-centric Queries,Find functional units in pathway path:ats00603,"MATCH (p:Pathway {id:'path:ats00603'})-[:CONTAINS]->(fu:FunctionalUnit)
RETURN fu;",I don't know the answer.,1
Phase 1,Pathway-centric Queries,Get complexes in path:ats00280 pathway,"MATCH (p:Pathway {id:'ats00280'})-[:CONTAINS]->(fu:FunctionalUnit)
RETURN fu;",I don't know the answer.,1
Phase 1,Pathway-centric Queries,Which functional units are part of pathway path:gmx01040?,"MATCH (p:Pathway {id:""path:gmx01040""})-[:CONTAINS]->(fu:FunctionalUnit)
RETURN fu;","['path:gmx01040_444', 'path:gmx01040_436', 'path:gmx01040_415', 'path:gmx01040_411', 'path:gmx01040_407', 'path:gmx01040_362', 'path:gmx01040_321', 'path:gmx01040_316', 'path:gmx01040_280', 'path:gmx01040_276']",1
Phase 1,Pathway-centric Queries,List complexes in fatty acid biosynthesis,"MATCH (p:Pathway)-[:CONTAINS]->(fu:FunctionalUnit)
WHERE toLower(p.title) CONTAINS 'fatty acid biosynthesis'
RETURN fu.id, fu.name, fu.type;",ko:K13370,1
Phase 1,Reverse Pathway Queries,Which pathways contain reaction R07449?,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'})
RETURN p.id AS pathwayId, p.title AS pathwayTitle, p.link AS pathwayLink;",I don't know.,1
Phase 1,Reverse Pathway Queries,Show pathways with reaction R07449,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'})
RETURN p;",['path:ats00905'],1
Phase 1,Reverse Pathway Queries,Find pathways including reaction R07449,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id:'R07449'})
RETURN p;",['path:ats00905'],1
Phase 1,Reverse Pathway Queries,Get pathways for reaction R07449,"MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'})
RETURN p.id AS pathwayId, p.title AS pathwayTitle, p.link AS pathwayLink, p.source AS pathwaySource, p.species AS pathwaySpecies, p.image AS pathwayImage;",Brassinosteroid biosynthesis (path:ats00905) – KEGG – ATS – https://www.kegg.jp/kegg-bin/show_pathway?ats00905 – image https://www.kegg.jp/kegg/pathway/ats/ats00905.png,1
