phase,category,question,check,cypher_executable,generated_cypher,QAChain,QAChain_Answer
Phase 1,Simple Relationship Queries - Outgoing,Show ortholog for gene ats:109745953,1.0,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:PRODUCES]-(c:Compound) RETURN o.id AS ortholog_id LIMIT 10,"
MATCH (g:Gene {id: ""ats:109745953""})-[:BELONGS_TO*1..3]->(o:Ortholog)
RETURN o
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,What ortholog contains gene gmx:100037478?,1.0,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:PRODUCES]-(c:Compound) RETURN o.id AS ortholog_id LIMIT 10,"
MATCH (g:Gene {id: 'gmx:100037478'})-[:BELONGS_TO*1..3]->(o:Ortholog)
RETURN o
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Find ortholog group of gene ath:AT1G01040,1.0,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,"MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN o.id AS ortholog_id, fu.id AS functional_unit_id LIMIT 10","
MATCH (g:Gene {name: ""ath:AT1G01040""})-[:BELONGS_TO]->(o:Ortholog)
OPTIONAL MATCH (o)-[:CATALYZES]->(r:Reaction)
OPTIONAL MATCH (o)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN o.symbol, o.link, r.name, ec.name
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Get ortholog for gene ath:AT1G01050,1.0,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]-(o:Ortholog) RETURN o LIMIT 10,"
MATCH (g:Gene {name: ""ath:AT1G01050""})-[:BELONGS_TO]->(o:Ortholog)
OPTIONAL MATCH (o)-[:CATALYZES]->(r:Reaction)
OPTIONAL MATCH (o)-[:HAS_ENZYME_FUNCTION]->(ec:EC)
RETURN o, r, ec
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which KO group includes gene K10246?,1.0,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]->(o:Ortholog) RETURN o,MATCH (g:Gene {id: 'K10246'})-[:BELONGS_TO]->(o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit) RETURN fu.id AS functional_unit_id,"cypher
MATCH (g:Gene {id: 'K10246'})-[:MEMBER_OF]->(fu:FunctionalUnit)
RETURN fu.type AS ko_group
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which reactions use compound C06000 as substrate?,1.0,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r.id LIMIT 10,"
MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF*1..3]->(r:Reaction) 
RETURN r
LIMIT 10;
",C06000 is used as a substrate in the reaction C06000 + C00001 <=> C00010 + C06001.
Phase 1,Simple Relationship Queries - Outgoing,What reactions consume compound C00164?,1.0,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C00164'})-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction) RETURN r.id LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Simple Relationship Queries - Outgoing,Show reactions where C06000 is a substrate,1.0,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r LIMIT 10,"cypher
MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF*1..3]->(r:Reaction)
RETURN r;
",C06000 is a substrate in the reaction C06000 + C00001 <=> C00010 + C06001.
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that use compound C08813,1.0,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C08813'})-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction) RETURN r LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Simple Relationship Queries - Outgoing,Get reactions with C06000 as input,1.0,MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH p=(c:Compound {id:'C06000'})-[:SUBSTRATE_OF|PRODUCES*0..5]->(r:Reaction)-[:CATALYZES*0..2]-(e:EC) WHERE e.id = '2.7.7.14' RETURN DISTINCT r LIMIT 10,"
MATCH (c:Compound {id: 'C06000'})-[:SUBSTRATE_OF*1..3]-(r:Reaction) 
RETURN r LIMIT 10;
","C06000 is an input in the following reaction:
(S)-3-hydroxyisobutyryl-CoA hydrolase, which has the equation '(S)-3-hydroxyisobutyryl-CoA + H2O <=> CoA + (S)-3-Hydroxyisobutyrate'."
Phase 1,Simple Relationship Queries - Outgoing,Which reactions require compound C03069?,1.0,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF]->(r:Reaction) RETURN r,MATCH (c:Compound {id: 'C03069'})-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction) RETURN r.id LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Simple Relationship Queries - Outgoing,What reactions does EC:1.14.13.1 catalyze?,1.0,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: '1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (ec:EC {id: '1.14.13.1'})-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are catalyzed by enzyme EC:1.14.13.1?,1.0,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: '1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (ec:EC {id: ""1.14.13.1""})-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Show reactions for enzyme EC:1.3.1.9,1.0,MATCH (e:EC {id: 'EC:1.3.1.9'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: '1.3.1.9'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (ec:EC {id: '1.3.1.9'})-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Find reactions that EC:1.14.13.1 catalyzes,1.0,MATCH (e:EC {id: 'EC:1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: '1.14.13.1'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (ec:EC {id: '1.14.13.1'})-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction
LIMIT 10
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Get reactions catalyzed by EC:6.2.1.3,1.0,MATCH (e:EC {id: 'EC:6.2.1.3'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: '6.2.1.3'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (ec:EC {id: '6.2.1.3'})-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does enzyme EC:2.1.1.369 perform?,1.0,MATCH (e:EC {id: 'EC:2.1.1.369'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (e:EC {id: '2.1.1.369'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (ec:EC {id: ""2.1.1.369""})-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,What reactions does ortholog R10826 catalyze?,1.0,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (o:Ortholog {id: 'R10826'})-[:CATALYZES*1..3]->(r:Reaction)
RETURN r
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which reactions are performed by KO K09458?,1.0,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K09458'})-[:CATALYZES|MEMBER_OF*0..1]->(r:Reaction) RETURN r LIMIT 10,"cypher
MATCH (ko:EC {id: 'K09458'})-[:HAS_ENZYME_FUNCTION]->(ec:EC)-[:CATALYZES*1..3]->(reaction:Reaction)
RETURN reaction.name, reaction.id
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Show reactions catalyzed by ortholog R03777,1.0,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'R03777'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (o:Ortholog {id: 'R03777'})-[:HAS_ENZYME_FUNCTION*1..3]->(ec:EC)-[:CATALYZES*1..3]->(r:Reaction)
RETURN r
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Find reactions for ortholog group K00059,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES|MEMBER_OF*0..1]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN r.id AS reaction_id LIMIT 10,"
MATCH (o:Ortholog {symbol: 'K00059'})-[:MEMBER_OF*1..3]-(fu:FunctionalUnit)-[:CONTAINS]->(r:Reaction)
RETURN r
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Get reactions that K00059 catalyzes,1.0,MATCH (o:Ortholog {id: 'R02814'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction) RETURN r LIMIT 10,ERROR - Invalid query generated,Error: list index out of range
Phase 1,Simple Relationship Queries - Outgoing,Which reactions does ortholog K00059 perform?,1.0,MATCH (o:Ortholog {id: 'R04957'})-[:CATALYZES]->(r:Reaction) RETURN r,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES|HAS_ENZYME_FUNCTION]->(r:Reaction) RETURN r LIMIT 10,"
MATCH (o:Ortholog {symbol: 'K00059'})-[:HAS_ENZYME_FUNCTION*1..3]->(ec:EC)-[:CATALYZES*1..3]->(r:Reaction)
RETURN r.name, r.id
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,What enzyme functions does ortholog K00059 have?,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e.id AS enzyme_id LIMIT 10,"
MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION*1..3]->(ec:EC)
RETURN ec.name, o.symbol
LIMIT 10;
",The enzyme function of ortholog K00059 is 3-oxoacyl-[acyl-carrier-protein] reductase.
Phase 1,Simple Relationship Queries - Outgoing,Which EC numbers are associated with KO K11262?,1.0,MATCH (o:Ortholog {id: 'K11262'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,"MATCH (e {id: $entity_id})-[r]-(neighbor)
RETURN neighbor.id AS neighbor_id,
       neighbor.name AS neighbor_name,
       labels(neighbor)[0] AS neighbor_type,
       type(r) AS relationship,
       CASE
         WHEN startNode(r) = e THEN 'outgoing'
         ELSE 'incoming'
       END AS direction","
MATCH (g:Gene {id: 'K11262'})-[:ENCODES*1..3]->(ec:EC) 
RETURN ec.id, ec.name
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Show enzyme functions of ortholog K00249,1.0,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION]->(ec:EC) RETURN ec.id AS enzyme_function LIMIT 10,"
MATCH (o:Ortholog {id: 'K00249'})-[:HAS_ENZYME_FUNCTION*1..3]->(ec:EC)
RETURN ec.name, ec.sysname, o.symbol
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Find EC numbers for ortholog K01897,1.0,MATCH (o:Ortholog {id: 'K01897'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K01897'})-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(ec:EC) RETURN ec.id LIMIT 10,"
MATCH (o:Ortholog {symbol: 'K01897'})-[:MEMBER_OF*1..3]->(fu:FunctionalUnit)-[:ENCODES]->(ec:EC)
RETURN ec.id
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Get enzyme activities of K00059,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES|HAS_ENZYME_FUNCTION]->(e:EC) RETURN e.id AS enzyme_activity LIMIT 10,"
MATCH (g:Gene {id: ""K00059""})-[:ENCODES*1..3]->(ec:EC)<-[:CATALYZES]-(r:Reaction)
RETURN r.name, ec.sysname
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which enzymes does ortholog K00059 correspond to?,1.0,MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION]->(e:EC) RETURN e,MATCH (o:Ortholog {id: 'K00059'})-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(e:EC) RETURN e.id AS enzyme_id LIMIT 10,"
MATCH (o:Ortholog {id: 'K00059'})-[:HAS_ENZYME_FUNCTION*1..3]->(e:EC)
RETURN e.name, e.sysname
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which functional units include gene ats:109733199?,1.0,MATCH (n {id: 'ats:109733199'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'ats:109733199'})-[:MEMBER_OF]->(fu:FunctionalUnit) RETURN fu LIMIT 10,"
MATCH (g:Gene {id: ""ats:109733199""})-[:MEMBER_OF*1..3]->(fu:FunctionalUnit)
RETURN fu
LIMIT 10;
",The functional unit with id path:ats03018_179 includes the gene ats:109733199.
Phase 1,Simple Relationship Queries - Outgoing,Show functional units for ortholog K00626,1.0,MATCH (n {id: 'K00626'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (o:Ortholog {id: 'K00626'})-[:MEMBER_OF]->(fu:FunctionalUnit) RETURN fu LIMIT 10,"
MATCH (o:Ortholog {id: ""K00626""})-[:MEMBER_OF*1..3]-(fu:FunctionalUnit)
RETURN fu.id, fu.type, fu.name
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,What functional units contain gene ats:109761713?,1.0,MATCH (n {id: 'ats:109761713'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'ats:109761713'})-[:MEMBER_OF]->(fu:FunctionalUnit) RETURN fu.id AS id LIMIT 10,"
MATCH (g:Gene {id: ""ats:109761713""})-[:MEMBER_OF*1..3]->(fu:FunctionalUnit)
RETURN fu
LIMIT 10;
",The functional unit ats:109761713 contains the gene.
Phase 1,Simple Relationship Queries - Outgoing,Find functional units with ortholog K13356,1.0,MATCH (n {id: 'K13356'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (f:FunctionalUnit)-[:MEMBER_OF]->(o:Ortholog {id: 'K13356'}) RETURN f.id AS functional_unit_id,"
MATCH (f:FunctionalUnit)-[:MEMBER_OF*1..3]-(g:Gene)<-[:BELONGS_TO]-(:Ortholog {symbol: ""K13356""}) 
RETURN f
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Get functional units for gene ath:AT1G54220,1.0,MATCH (n {id: 'AT1G54220'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:MEMBER_OF]->(fu:FunctionalUnit) RETURN fu LIMIT 10,"
MATCH (g:Gene {name: ""ath:AT1G54220""})-[:MEMBER_OF*1..3]->(fu:FunctionalUnit)
RETURN fu.id, fu.type, fu.name
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Outgoing,Which complexes does ortholog K09754 belong to?,1.0,MATCH (n {id: 'K09754'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f,MATCH (o:Ortholog {id: 'K09754'})-[r:MEMBER_OF*0..1]-(fu:FunctionalUnit) RETURN fu.id AS id LIMIT 10,"
MATCH (o:Ortholog {id: 'K09754'})-[:MEMBER_OF*1..3]-(fu:FunctionalUnit)
RETURN fu.name AS complex_name
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Incoming,Which genes encode enzyme EC:2.3.1.199?,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC) WHERE e.id = '2.3.1.199' RETURN g LIMIT 10,"
MATCH (g:Gene)-[:ENCODES {id: ""2.3.1.199""}]->(ec:EC)
RETURN g
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Incoming,Show genes that produce EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC) WHERE e.id = '2.3.1.199' RETURN g.id LIMIT 10,"
MATCH (g:Gene)-[:ENCODES*1..3]->(ec:EC {id: '2.3.1.199'})-[:CATALYZES*1..3]->(r:Reaction)
RETURN g
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Incoming,Find genes encoding EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC) WHERE e.id = '2.3.1.199' RETURN g LIMIT 10,"
MATCH (g:Gene)-[:ENCODES {species: ""EC:2.3.1.199""}]->(ec:EC)
RETURN g LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Incoming,Get genes for enzyme EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC) WHERE e.id = '2.3.1.199' RETURN g LIMIT 10,"
MATCH (g:Gene)-[:ENCODES*1..3]->(ec:EC {id: ""2.3.1.199""})-[:CATALYZES*1..3]->(r:Reaction)
OPTIONAL MATCH (g)<-[:MEMBER_OF]-(fu:FunctionalUnit)
RETURN g.position, g.name, g.link, g.species, g.id, g.symbol
LIMIT 10;
",I don't know the answer.
Phase 1,Simple Relationship Queries - Incoming,Which genes code for EC:2.3.1.199,1.0,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC) WHERE e.id = '2.3.1.199' RETURN g LIMIT 10,"
MATCH (g:Gene)-[:ENCODES*1..3]->(ec:EC {id: ""2.3.1.199""})-[:CATALYZES*1..3]->(r:Reaction)
RETURN g
LIMIT 10;
",I don't know the answer.
