Row_Index,Question,Cypher_executable,Generated_Cypher (Fallback)
147,Show compounds used in multiple reactions,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WITH c, COUNT(r) AS numReactions WHERE numReactions > 1 RETURN c"
149,Find pathways with more than 10 reactions,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction) WITH p, COUNT(r) AS reactionCount WHERE reactionCount > 10 RETURN p.id, p.name, reactionCount"
150,List reactions with multiple substrates,"MATCH (g:Gene)-[r:ENCODES]->() WITH g, count(r) as cnt WHERE cnt > $threshold RETURN g","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) WITH r, COUNT(c) AS numSubstrates WHERE numSubstrates > 1 RETURN r"
152,Show enzymes starting with EC:1.1,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (e:EC) WHERE e.id STARTS WITH 'EC:1.1' RETURN e
153,Get compounds starting with C000,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (c:Compound) WHERE c.id STARTS WITH 'C000' RETURN c
154,List pathways starting with path:ats00280,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (p:Pathway) WHERE p.id STARTS WITH 'path:ats00280' RETURN p
155,Find reactions starting with R000,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (r:Reaction) WHERE r.id STARTS WITH 'R000' RETURN r
156,Show orthologs starting with K00,MATCH (n:Gene) WHERE n.id STARTS WITH $prefix RETURN n,MATCH (o:Ortholog) WHERE o.id STARTS WITH 'K00' RETURN o
157,Which genes encode enzymes?,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (g:Gene)-[:ENCODES]->(:EC) RETURN g
158,Find compounds that are substrates,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (c:Compound)-[:SUBSTRATE_OF]->(:Reaction) RETURN DISTINCT c
159,Show enzymes that catalyze reactions,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (e:EC)-[:CATALYZES]->(:Reaction) RETURN e
160,Get reactions with substrates,MATCH (g:Gene) WHERE EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction) RETURN DISTINCT r
163,Which genes don't encode any enzymes?,MATCH (g:Gene) WHERE NOT EXISTS((g)-[:ENCODES]->()) RETURN g,MATCH (g:Gene) WHERE NOT (g)-[:ENCODES]->(:EC) RETURN g
164,Find compounds that aren't substrates,MATCH (g:Compound) WHERE NOT EXISTS((g)-[:SUBSTRATE_OF]->()) RETURN g,MATCH (c:Compound) WHERE NOT (c)-[:SUBSTRATE_OF]->(:Reaction) RETURN c
165,Show enzymes that don't catalyze reactions,MATCH (g:EC) WHERE NOT EXISTS((g)-[:CATALYZES]->()) RETURN g,MATCH (e:EC) WHERE NOT (e)-[:CATALYZES]->(:Reaction) RETURN e
166,Get reactions without products,MATCH (g:Reaction) WHERE NOT EXISTS((g)-[:PRODUCTS]->()) RETURN g,MATCH (r:Reaction) WHERE NOT EXISTS ((r)-[:PRODUCES]->(:Compound)) RETURN r
167,Find orthologs without enzyme functions,MATCH (g:Ortholog) WHERE NOT EXISTS((g)-[:HAS_ENZYME_FUNCTION]->()) RETURN g,MATCH (o:Ortholog)WHERE NOT EXISTS {  (o)<-[:BELONGS_TO]-(g:Gene)-[:ENCODES]->(:EC)}RETURN o
169,Find either enzymes or reactions,MATCH (n) WHERE n:EC OR n:Reaction RETURN n LIMIT 100,MATCH (n) WHERE n:EC OR n:Reaction RETURN n
172,Show reactions and compounds,MATCH (n) WHERE n:Reaction OR n:Compounds RETURN n LIMIT 100,"MATCH (c:Compound)-[:SUBSTRATE_OF|PRODUCES]-(r:Reaction) RETURN c, r"
173,Find orthologs or functional units,MATCH (n) WHERE n:Ortholog OR n:FunctionalUnit RETURN n LIMIT 100,"MATCH (o:Ortholog) RETURN o
UNION
MATCH (f:FunctionalUnit) RETURN f"
174,Which genes are most connected?,"MATCH (n:Gene)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (g:Gene) RETURN g.id, size((g)--()) AS connection_count ORDER BY connection_count DESC"
177,Get most connected reactions,"MATCH (n:Reaction)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (r:Reaction)
RETURN r, size((r)--()) AS connectionCount
ORDER BY connectionCount DESC"
179,Find hub orthologs in the network,"MATCH (n:Ortholog)-[r]-() RETURN n, count(r) as degree ORDER BY degree DESC LIMIT 10","MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog) WITH o, count(g) AS geneCount RETURN o.id, geneCount ORDER BY geneCount DESC"
231,Show products from gene ath:AT5G61540 via ortholog pathway,MATCH (g:Gene {id: 'AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)-[:PRODUCES]->(c:Compound) RETURN c,"MATCH (g1:Gene {id: 'ath:AT5G61540'})-[:BELONGS_TO]->(o:Ortholog)-[:MEMBER_OF]->(fu:FunctionalUnit)<-[:MEMBER_OF]-(g2:Gene)-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway), (r)-[:PRODUCES]->(c:Compound) RETURN DISTINCT c"
243,Show downstream reactions from glycolysis products,MATCH (p:Pathway {id: 'path:ath00010'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:ath00010'})-[:CONTAINS]->(r_glycolysis:Reaction)-[:PRODUCES]->(c_product:Compound)-[:SUBSTRATE_OF]->(r_downstream:Reaction) WHERE r_downstream <> r_glycolysis RETURN DISTINCT r_downstream
244,Find reactions that use outputs from pathway path:ath00280,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)<-[:SUBSTRATE_OF]-(r2:Reaction) RETURN DISTINCT r2
245,Get subsequent reactions after TCA cycle,MATCH (p:Pathway {id: 'path:ath00020'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,"MATCH (tca_pathway:Pathway)
WHERE tca_pathway.name CONTAINS 'TCA cycle'
MATCH (tca_pathway)-[:CONTAINS]->(tca_reaction:Reaction)-[:PRODUCES]->(intermediate_compound:Compound)-[:SUBSTRATE_OF]->(subsequent_reaction:Reaction)
WHERE NOT (tca_pathway)-[:CONTAINS]->(subsequent_reaction)
RETURN DISTINCT subsequent_reaction"
246,Which reactions consume products from pathway path:gmx00603?,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r_pathway:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r_consumer:Reaction) RETURN DISTINCT r_consumer
247,List reactions following fatty acid biosynthesis,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (p:Pathway {id: 'path:ats00061'})-[:CONTAINS]->(r:Reaction) RETURN r
249,Show reactions in the second step after using R06870,MATCH (c1:Compound {id: 'R06870'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R06870'})-[:PRODUCES]->(c1:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r3:Reaction) RETURN DISTINCT r3
251,Get second-level reactions from R06871,MATCH (c1:Compound {id: 'R06871'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R06871'})-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r2
252,Which reactions are reached through two conversions from R10826?,MATCH (c1:Compound {id: 'R10826'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R10826'})-[:PRODUCES]->(c1:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r3:Reaction) RETURN r3
253,List reactions two steps after R03777,MATCH (c1:Compound {id: 'R03777'})-[:SUBSTRATE_OF]->(r1:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) RETURN r2,MATCH (r1:Reaction {id: 'R03777'})-[:PRODUCES]->(c1:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)-[:PRODUCES]->(c2:Compound)-[:SUBSTRATE_OF]->(r3:Reaction) RETURN r3
254,Which pathways is gene gmx:100217331 involved in?,MATCH (g:Gene {id: 'gmx:100217331'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
255,Show pathways for gene ats:109745953 through ortholog,MATCH (g:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g1:Gene {id: 'ats:109745953'})-[:BELONGS_TO]->(o:Ortholog)<-[:BELONGS_TO]-(g2:Gene)-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN DISTINCT p
257,Get pathways that gene ath:AT1G01040 participates in,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ath:AT1G01040'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
258,Which pathways involve gene ath:AT1G01050?,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ath:AT1G01050'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
259,List pathways for gene ats:109733199 via ortholog,MATCH (g:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(o:Ortholog)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g1:Gene {id: 'ats:109733199'})-[:BELONGS_TO]->(:Ortholog)-[:MEMBER_OF]->(:FunctionalUnit)<-[:MEMBER_OF]-(g2:Gene)-[:ENCODES]->(:EC)-[:CATALYZES]->(:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
260,Which pathways does gene ats:109761713 affect through enzymes?,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ats:109761713'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN DISTINCT p
261,Show pathways for gene ath:AT1G54220 via encoded EC,MATCH (g:Gene {id: 'AT1G54220'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
262,Find pathways influenced by gene ath:AT2G06990,MATCH (g:Gene {id: 'AT2G06990'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ath:AT2G06990'})-[:ENCODES]->(:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
263,Get pathways connected to gene ath:AT5G61540 through enzymes,MATCH (g:Gene {id: 'AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ath:AT5G61540'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
264,Which pathways involve gene gmx:100217331 via EC numbers?,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'gmx:100217331'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
265,List pathways for gene ats:109745953 through enzymes,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p,MATCH (g:Gene {id: 'ats:109745953'})-[:ENCODES]->(e:EC)-[:CATALYZES]->(re:Reaction)<-[:CONTAINS]-(p:Pathway) RETURN p
300,List genes encoding the same ath:AT2G06990,"MATCH (g1:Gene)-[:ENCODES]->(e:EC {id: 'AT2G06990'})<-[:ENCODES]-(g2:Gene) WHERE g1 <> g2 RETURN g1, g2",MATCH (g1:Gene {id: 'ath:AT2G06990'})-[:BELONGS_TO]->(o:Ortholog)<-[:BELONGS_TO]-(g2:Gene) WHERE g2.id <> g1.id RETURN g2
302,Find metabolites shared across pathways,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount","MATCH (c:Compound)
MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction)
WHERE (c)-[:SUBSTRATE_OF]->(r) OR (r)-[:PRODUCES]->(c)
WITH c, COLLECT(DISTINCT p) AS pathways, COUNT(DISTINCT p) AS num_pathways
WHERE num_pathways > 1
RETURN c.id, c.name, [pathway IN pathways | pathway.name] AS shared_in_pathways"
305,Which compounds connect different pathways?,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount","MATCH (c:Compound)-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction)<-[:CONTAINS]-(p:Pathway) WITH c, COLLECT(DISTINCT p.id) AS distinctPathwayIds WHERE SIZE(distinctPathwayIds) > 1 RETURN c"
306,List compounds appearing in multiple metabolic routes,"MATCH (p:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES|SUBSTRATE_OF]-(c:Compound) WITH c, count(DISTINCT p) as pathwayCount WHERE pathwayCount > 1 RETURN c, pathwayCount","MATCH (c:Compound)
MATCH (c)-[:SUBSTRATE_OF|PRODUCES]->(r:Reaction)
MATCH (p:Pathway)-[:CONTAINS]->(r)
WITH c, COUNT(DISTINCT p) AS pathway_count
WHERE pathway_count > 1
RETURN c.name, c.id"
307,Which reactions use the same substrates?,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
WITH c, COLLECT(r) AS reactionsUsingThisSubstrate
WHERE SIZE(reactionsUsingThisSubstrate) > 1
UNWIND reactionsUsingThisSubstrate AS reaction
RETURN DISTINCT reaction"
308,Find competing reactions for substrates,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r1:Reaction), (c)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, r2, c"
309,Show reactions with overlapping substrate requirements,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
WITH c, COLLECT(r) AS reactions
WHERE SIZE(reactions) > 1
UNWIND reactions AS reaction_with_shared_substrate
RETURN DISTINCT reaction_with_shared_substrate"
310,Get reactions that share input compounds,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
WITH c, COLLECT(r) AS reactions
WHERE SIZE(reactions) > 1
UNWIND reactions AS shared_reaction
RETURN DISTINCT shared_reaction"
311,Which reactions compete for the same metabolites?,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2","MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction)
WITH c, COLLECT(r) AS reactionsForCompound
WHERE SIZE(reactionsForCompound) > 1
UNWIND reactionsForCompound AS competingReaction
RETURN DISTINCT competingReaction"
312,List reaction R03777 pairs with common substrates,"MATCH (r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, c, r2","MATCH (r1:Reaction {id: 'R03777'})<-[:SUBSTRATE_OF]-(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE r1 <> r2 RETURN r1, r2"
346,Get pathways without metabolic crosstalk,MATCH (p:Pathway) WHERE NOT EXISTS((p)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(:Pathway)) RETURN p,MATCH (p1:Pathway)-[:CONTAINS]->(r:Reaction)<-[:CONTAINS]-(p2:Pathway)WHERE p1 <> p2WITH COLLECT(DISTINCT r) AS sharedReactionsMATCH (p:Pathway)WHERE NOT EXISTS {MATCH (p)-[:CONTAINS]->(r_p:Reaction)WHERE r_p IN sharedReactions}RETURN p
349,How are pathways connected through compounds?,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2","MATCH (p1:Pathway)-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2"
350,Find compounds linking different pathways,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2","MATCH (c:Compound)
MATCH (r:Reaction)
WHERE (c)-[:SUBSTRATE_OF]->(r) OR (r)-[:PRODUCES]->(c)
MATCH (p:Pathway)-[:CONTAINS]->(r)
WITH c, COLLECT(DISTINCT p.id) AS pathwayIds
WHERE size(pathwayIds) > 1
RETURN c.id, c.name, pathwayIds"
353,Which compounds connect pathway path:ath00280 to others?,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2","MATCH (p1:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r1:Reaction)
MATCH (c:Compound)
WHERE (c)-[:SUBSTRATE_OF]->(r1) OR (r1)-[:PRODUCES]->(c)
MATCH (c)-[:SUBSTRATE_OF|PRODUCES]->(r2:Reaction)
MATCH (p2:Pathway)-[:CONTAINS]->(r2)
WHERE p1 <> p2
RETURN DISTINCT c"
354,List inter-pathway path:gmx00603 metabolite exchanges,"MATCH (p1:Pathway)-[:CONTAINS]->(:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(:Reaction)<-[:CONTAINS]-(p2:Pathway) WHERE p1 <> p2 RETURN p1, c, p2","MATCH (p1:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)
MATCH (c)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p2:Pathway)
WHERE p1.id <> p2.id
RETURN c.id, c.name, p1.id AS source_pathway, p2.id AS target_pathway, 'produced_by_source_consumed_by_target' AS exchange_type
UNION ALL
MATCH (p1:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r1:Reaction)<-[:SUBSTRATE_OF]-(c:Compound)
MATCH (c)<-[:PRODUCES]-(r2:Reaction)<-[:CONTAINS]-(p2:Pathway)
WHERE p1.id <> p2.id
RETURN c.id, c.name, p2.id AS source_pathway, p1.id AS target_pathway, 'produced_by_source_consumed_by_target' AS exchange_type"
355,Show sequential reactions in pathway path:ath00603,MATCH path = (p:Pathway {id: 'path:ath00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path,"MATCH (p:Pathway {id: 'path:ath00603'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(c:Compound)-[:SUBSTRATE_OF]->(r2:Reaction) WHERE (p)-[:CONTAINS]->(r2) RETURN r1, r2"
356,Find reaction R00200 chains in glycolysis,MATCH path = (p:Pathway {id: 'R00200'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path,"MATCH (p:Pathway {id: 'path:ath00010'})
MATCH (r_current:Reaction {id: 'R00200'})
WHERE (p)-[:CONTAINS]->(r_current)
OPTIONAL MATCH (r_prev:Reaction)-[:PRODUCES]->(c_in:Compound)-[:SUBSTRATE_OF]->(r_current)
WHERE (p)-[:CONTAINS]->(r_prev)
OPTIONAL MATCH (r_current)-[:PRODUCES]->(c_out:Compound)-[:SUBSTRATE_OF]->(r_next:Reaction)
WHERE (p)-[:CONTAINS]->(r_next)
RETURN r_prev, c_in, r_current, c_out, r_next"
358,Show reaction R07764 sequences in TCA cycle,MATCH path = (p:Pathway {id: 'R07764'})-[:CONTAINS]->(r1:Reaction)-[:PRODUCES]->(:Compound)-[:SUBSTRATE_OF]->(r2:Reaction)<-[:CONTAINS]-(p) RETURN path,MATCH (r:Reaction {id: 'R07764'})<-[:CONTAINS]-(p:Pathway {name: 'TCA cycle'}) RETURN r
372,Show me what's in the path:ath00061 pathway,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(n) RETURN n,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r:Reaction) RETURN r
