Result,Reason (Match Type),Counts (Bot / GT),Missing IDs (Example),Extra IDs (Example),Question,Bot Query,Truth Query
✅ Correct,Subset Match,1 / 0,-,"['acetyl-CoA C-acetyltransferase', '2.3.1.9']",Show functional units for ortholog K00626,MATCH (o:Ortholog {id: 'K00626'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (n {id: 'K00626'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
✅ Correct,Full Match,1 / 1,-,-,What functional units contain gene ats:109761713?,MATCH (g:Gene {id: 'ats:109761713'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,MATCH (n {id: 'ats:109761713'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
✅ Correct,Empty Match,0 / 0,-,-,Find functional units with ortholog K13356,MATCH (g:Gene {id: 'K13356'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,MATCH (n {id: 'K13356'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
✅ Correct,Empty Match,0 / 0,-,-,Get functional units for gene ath:AT1G54220,MATCH (g:Gene {id: 'ath:AT1G54220'})-[:MEMBER_OF]-(f:FunctionalUnit) RETURN f,MATCH (n {id: 'AT1G54220'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
✅ Correct,Empty Match,0 / 0,-,-,Which complexes does ortholog K09754 belong to?,MATCH (o:Ortholog {id: 'K09754'})-[:HAS_ENZYME_FUNCTION]-(e:EC) RETURN e,MATCH (n {id: 'K09754'})-[:MEMBER_OF]->(f:FunctionalUnit) RETURN f
✅ Correct,Empty Match,0 / 0,-,-,Which genes encode enzyme EC:2.3.1.199?,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
✅ Correct,Empty Match,0 / 0,-,-,Show genes that produce EC:2.3.1.199,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
✅ Correct,Empty Match,0 / 0,-,-,Find genes encoding EC:2.3.1.199,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
✅ Correct,Empty Match,0 / 0,-,-,Get genes for enzyme EC:2.3.1.199,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
✅ Correct,Empty Match,0 / 0,-,-,Which genes code for EC:2.3.1.199,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
✅ Correct,Empty Match,0 / 0,-,-,List genes that encode EC:2.3.1.199,MATCH (g:Gene)-[:ENCODES]-(e:EC {id: 'EC:2.3.1.199'}) RETURN g,MATCH (g:Gene)-[:ENCODES]->(e:EC {id: 'EC:2.3.1.199'}) RETURN g
✅ Correct,Full Match,6 / 6,-,-,Which genes belong to ortholog K00382?,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00382'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'}) RETURN g
✅ Correct,Subset Match,0 / 6,"['(RefSeq) dihydrolipoyl dehydrogenase 2, chloroplastic', 'gmx:100782004', 'gmx:100776304']",-,Show genes in KO group K00382,MATCH (n:Gene {id: 'K00382'}) RETURN n,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00382'}) RETURN g
✅ Correct,Empty Match,0 / 0,-,-,Find genes for ortholog K10246,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K10246'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K10246'}) RETURN g
✅ Correct,Full Match,11 / 11,-,-,Get genes in ortholog K09458,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K09458'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K09458'}) RETURN g
✅ Correct,Full Match,4 / 4,-,-,Which genes are in KO K00059?,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00059'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'}) RETURN g
✅ Correct,Full Match,4 / 4,-,-,List genes belonging to ortholog K00059,MATCH (g:Gene)-[:BELONGS_TO]-(o:Ortholog {id: 'K00059'}) RETURN g,MATCH (g:Gene)-[:BELONGS_TO]->(o:Ortholog {id: 'K00059'}) RETURN g
✅ Correct,Full Match,1 / 1,-,-,What are the substrates of reaction R07449?,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07449'}) RETURN c
✅ Correct,Subset Match,1 / 0,-,"['6-Deoxoteasterone', 'C15799']",Which compounds are inputs to reaction R07449?,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C00183'}) RETURN c
✅ Correct,Empty Match,0 / 0,-,-,Show substrates for reaction R00200,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R00200'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R00200'}) RETURN c
✅ Correct,Subset Match,1 / 0,-,"['6-Deoxoteasterone', 'C15799']",Find input compounds of reaction R07449,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C00141'}) RETURN c
✅ Correct,Full Match,1 / 1,-,-,Get substrates of reaction R07764,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07764'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'R07764'}) RETURN c
✅ Correct,Subset Match,1 / 0,-,"['6-Deoxoteasterone', 'C15799']",Which compounds does reaction  R07449 consume?,MATCH (c:Compound)-[:SUBSTRATE_OF]-(r:Reaction {id: 'R07449'}) RETURN c,MATCH (c:Compound)-[:SUBSTRATE_OF]->(r:Reaction {id: 'C01181'}) RETURN c
✅ Correct,Subset Match,1 / 2,"['K09589', 'steroid 3-oxidase [EC:1.14.-.-]', 'CYP90D2, D2']",-,Which enzymes catalyze reaction R07449?,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R07449'}) RETURN e,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R07449'}) RETURN n
✅ Correct,Subset Match,1 / 4,"['fadD13', 'ACSBG', 'K15013']",-,Show catalysts for reaction R01280,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R01280'}) RETURN e,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R01280'}) RETURN n
❌ Incorrect,Mismatch,100 / 2,"['phosphoethanolamine/phosphocholine phosphatase', '3.1.3.75']","['ACAA1', 'K00626', 'K10703']",What orthologs perform reaction R06870?,MATCH (n:Ortholog) RETURN n LIMIT 100,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06870'}) RETURN n
✅ Correct,Subset Match,1 / 2,"['K09589', 'steroid 3-oxidase [EC:1.14.-.-]', 'CYP90D2, D2']",-,Find enzymes that catalyze reaction  R07449,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R07449'}) RETURN e,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R07449'}) RETURN n
✅ Correct,Subset Match,1 / 2,"['phosphoethanolamine/phosphocholine phosphatase [EC:3.1.3.75]', 'K06124', 'PHOSPHO1']",-,Get catalysts of reaction R06871,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R06871'}) RETURN e,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R06871'}) RETURN n
✅ Correct,Subset Match,1 / 2,"['K10251', 'HSD17B12, KAR, IFA38', '17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]']",-,Which EC numbers catalyze reaction R10826?,MATCH (e:EC)-[:CATALYZES]-(r:Reaction {id: 'R10826'}) RETURN e,MATCH (n)-[:CATALYZES]->(r:Reaction {id: 'R10826'}) RETURN n
✅ Correct,Full Match,1 / 1,-,-,Which reactions produce compound C00422?,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
✅ Correct,Full Match,1 / 1,-,-,Show reactions that generate C00422,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
✅ Correct,Empty Match,0 / 0,-,-,Find reactions producing compound C00052,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00052'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00052'}) RETURN r
✅ Correct,Full Match,1 / 1,-,-,Get reactions that make C00422,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
✅ Correct,Full Match,1 / 1,-,-,Which reactions output compound C06157?,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C06157'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C06157'}) RETURN r
✅ Correct,Full Match,1 / 1,-,-,What reactions synthesize C00422?,MATCH (r:Reaction)-[:PRODUCES]-(c:Compound {id: 'C00422'}) RETURN r,MATCH (r:Reaction)-[:PRODUCES]->(c:Compound {id: 'C00422'}) RETURN r
✅ Correct,Full Match,61 / 61,-,-,What reactions are in pathway path:ath00061?,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(r:Reaction) RETURN r
✅ Correct,Full Match,5 / 5,-,-,Show reactions in path:ats00603 pathway,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(r:Reaction) RETURN r
✅ Correct,Full Match,31 / 31,-,-,Find reactions in pathway path:ats00280,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(r:Reaction) RETURN r
✅ Correct,Subset Match,0 / 11,"['R08174', 'R08180', 'R08177']",-,Get reactions for path:gmx01040 pathway,MATCH (p:Pathway {id: 'gmx01040'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(r:Reaction) RETURN r
✅ Correct,Full Match,31 / 31,-,-,Which reactions are part of pathway path:ath00280?,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:ath00280'})-[:CONTAINS]->(r:Reaction) RETURN r
✅ Correct,Full Match,5 / 5,-,-,List reactions in path:gmx00603 pathway,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]-(r:Reaction) RETURN r,MATCH (p:Pathway {id: 'path:gmx00603'})-[:CONTAINS]->(r:Reaction) RETURN r
✅ Correct,Full Match,1 / 1,-,-,What functional units are in pathway path:gmx00061?,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:gmx00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
✅ Correct,Subset Match,0 / 1,"['path:ath00061_331', 'ko:K13370']",-,Show complexes in path:ath00061 pathway,MATCH (p:Pathway {id: 'ath00061'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
✅ Correct,Empty Match,0 / 0,-,-,Find functional units in pathway path:ats00603,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ats00603'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
✅ Correct,Empty Match,0 / 0,-,-,Get complexes in path:ats00280 pathway,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ats00280'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
✅ Correct,Full Match,17 / 17,-,-,Which functional units are part of pathway path:gmx01040?,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:gmx01040'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
✅ Correct,Full Match,1 / 1,['path:ath00061_331'],['path:ats00061_331'],List complexes in fatty acid biosynthesis,MATCH (p:Pathway {id: 'path:ats00061'})-[:CONTAINS]-(f:FunctionalUnit) RETURN f,MATCH (p:Pathway {id: 'path:ath00061'})-[:CONTAINS]->(f:FunctionalUnit) RETURN f
✅ Correct,Full Match,1 / 1,-,-,Which pathways contain reaction R07449?,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
✅ Correct,Full Match,1 / 1,-,-,Show pathways with reaction R07449,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
✅ Correct,Full Match,1 / 1,-,-,Find pathways including reaction R07449,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
✅ Correct,Full Match,1 / 1,-,-,Get pathways for reaction R07449,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
✅ Correct,Empty Match,0 / 0,-,-,Which pathways have reaction R00200?,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R00200'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R00200'}) RETURN p
✅ Correct,Full Match,1 / 1,-,-,List pathways containing reaction R07449,MATCH (p:Pathway)-[:CONTAINS]-(r:Reaction {id: 'R07449'}) RETURN p,MATCH (p:Pathway)-[:CONTAINS]->(r:Reaction {id: 'R07449'}) RETURN p
✅ Correct,Subset Match,1 / 1,"[""[('type', 'gene')]""]",-,How many enzymes does gene ats:109733199 encode?,MATCH (g:Gene {id: 'ats:109733199'})-[:ENCODES]-(e:EC) RETURN count(e),MATCH (n {id: 'ats:109733199'})-[r]->(m) RETURN count(r)
✅ Correct,Empty Match,1 / 1,-,-,Count reactions catalyzed by EC:1.1.1.1,MATCH (p:Pathway {id: '1.1.1.1'})-[:CONTAINS]-(r:Reaction) RETURN count(r),MATCH (n {id: 'EC:1.1.1.1'})-[r]->(m) RETURN count(r)
